죄종별(1),죄종별(2),소,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총계,보건범죄,보건범죄특조법(부정의약품),5,2,18,14,15,12,9,7,4,4,3,5
총계,보건범죄,기타보건범죄,1020,1149,2048,1821,1764,1853,1582,1325,1419,1310,1236,819
총계,환경범죄,소계,2649,3128,4135,2536,2955,4349,4879,4791,3877,3568,3656,3477
총계,환경범죄,대기환경보전법,553,675,754,668,727,1009,1240,1075,1112,1144,1501,1206
총계,환경범죄,토양환경보전법,11,8,10,16,12,14,13,10,15,16,13,11
총계,환경범죄,수질환경보전법,-,1,-,-,-,-,-,-,-,-,-,-
총계,환경범죄,야생동·식물보호법,409,247,43,-,-,-,-,-,-,-,-,-
총계,환경범죄,야생생물보호및관리에관한법률위반,-,-,-,166,232,118,107,99,120,97,70,102
총계,환경범죄,특가법(산림),13,13,11,4,7,6,5,2,1,-,-,-
총계,환경범죄,폐기물관리법,625,627,1917,743,684,874,1115,1231,1378,1398,1352,1239
총계,환경범죄,해양환경관리법,444,940,503,262,622,1577,755,702,411,486,262,472
총계,환경범죄,환경범죄의단속에관한특별조치법,2,3,1,2,-,3,3,1,1,4,4,4
총계,환경범죄,기타환경범죄,592,614,896,675,671,748,1641,1671,839,423,454,443
총계,교통범죄,소계,536167,542784,573453,573493,596665,600401,501162,408371,377354,348725,308634,241029
총계,교통범죄,교통사고,-,297226,298083,313617,338212,324770,269434,237354,240802,225762,190488,109931
총계,교통범죄,교통사고외,-,245558,275370,259876,258453,275631,231728,171017,136552,122963,118146,131098
총계,노동범죄,소계,1584,1391,1721,1308,1145,2457,2862,1883,975,356,406,714
총계,노동범죄,근로기준법,42,28,23,21,22,17,28,26,22,22,14,11
총계,노동범죄,노동조합및노동관계조정법,5,6,8,4,2,5,9,7,14,13,5,11
총계,노동범죄,산업안전보건법,11,13,15,26,13,23,22,18,34,21,27,17
