죄종별,죄종별(2),죄종별(3),연령별,항목,단위,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년
형법범,기타형법범,공무방해에 관한 죄,미상,범죄자[명],명,49,5,7,9,5,39,33,34,42,41,404,172,63,135,104,127,74
형법범,기타형법범,도주와 도주원조죄,미성년,범죄자[명],명,5,2,1,1,3,8,13,4,6,3,,,4,4,3,2,1
형법범,기타형법범,도주와 도주원조죄,성인,범죄자[명],명,74,34,9,27,109,97,169,76,99,107,14,9,7,9,4,10,8
형법범,기타형법범,도주와 도주원조죄,미상,범죄자[명],명,,,,,,1,,,,,,,,3,,,1
형법범,기타형법범,범인은닉·범인도피죄,미성년,범죄자[명],명,44,42,55,66,78,95,91,108,83,87,54,29,18,31,13,29,28
형법범,기타형법범,범인은닉·범인도피죄,14세미만,범죄자[명],명,2,1,,,,1,,1,,2,,,,1,1,,
형법범,기타형법범,범인은닉·범인도피죄,성인,범죄자[명],명,410,425,535,594,689,671,756,944,965,940,791,460,454,486,515,605,557
형법범,기타형법범,범인은닉·범인도피죄,미상,범죄자[명],명,1,,1,,1,1,,2,1,1,15,2,,4,4,6,8
형법범,기타형법범,위증죄,미성년,범죄자[명],명,4,7,3,3,8,8,13,12,5,3,8,2,3,6,1,11,1
형법범,기타형법범,위증죄,14세미만,범죄자[명],명,,1,,2,1,1,1,1,,,1,,,,,,
형법범,기타형법범,위증죄,성인,범죄자[명],명,2438,2176,1987,2165,2256,3022,2867,2617,2311,2095,2546,2594,2613,2720,2872,3002,3008
형법범,기타형법범,위증죄,미상,범죄자[명],명,14,1,1,,1,11,4,7,5,8,213,94,55,53,69,70,36
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,미성년,범죄자[명],명,6,10,8,6,7,8,7,4,1,1,,,2,,3,,
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,성인,범죄자[명],명,55,99,38,39,52,59,66,74,81,66,35,45,68,70,47,67,79
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,미상,범죄자[명],명,,,,,,,1,1,,2,13,7,8,5,1,5,20
형법범,기타형법범,무고의 죄,미성년,범죄자[명],명,18,16,14,25,21,21,44,32,30,30,24,13,18,18,13,24,18
형법범,기타형법범,무고의 죄,14세미만,범죄자[명],명,1,,3,1,,,1,3,,3,6,1,1,,,1,
형법범,기타형법범,무고의 죄,성인,범죄자[명],명,1779,1673,1708,1834,1851,2585,2568,2595,2441,2394,2556,2909,3107,2703,2960,3515,3513
형법범,기타형법범,무고의 죄,미상,범죄자[명],명,8,,1,4,7,19,4,20,18,22,513,340,202,174,137,185,211
형법범,기타형법범,특가법(무고),미성년,범죄자[명],명,,,,,,,,5,2,,1,,,,,,
형법범,기타형법범,특가법(무고),성인,범죄자[명],명,,,,,1,2,2,2,4,1,6,9,2,6,,1,
형법범,기타형법범,신앙에 관한 죄,미성년,범죄자[명],명,7,6,3,2,3,6,1,,,5,6,3,1,,,1,1
형법범,기타형법범,신앙에 관한 죄,14세미만,범죄자[명],명,1,,,,1,,,,,,1,,,,,,
형법범,기타형법범,신앙에 관한 죄,성인,범죄자[명],명,247,228,222,270,209,287,218,329,288,423,446,403,512,556,336,417,383
형법범,기타형법범,신앙에 관한 죄,미상,범죄자[명],명,,,1,,,1,30,,1,1,73,54,26,61,26,29,31
형법범,기타형법범,실화 및 업무상실화죄,미성년,범죄자[명],명,138,130,128,102,93,94,96,80,69,37,49,53,49,81,96,92,72
형법범,기타형법범,실화 및 업무상실화죄,14세미만,범죄자[명],명,28,31,35,38,11,22,24,25,29,11,25,13,10,10,12,10,1
형법범,기타형법범,실화 및 업무상실화죄,성인,범죄자[명],명,1708,1542,1450,1402,1145,1253,1412,1456,1176,1093,1134,1145,1086,1073,1141,1221,1136
형법범,기타형법범,실화 및 업무상실화죄,미상,범죄자[명],명,18,1,,4,2,1,2,1,1,3,88,63,50,34,26,50,37
형법범,기타형법범,일수와 수리에 관한 죄,성인,범죄자[명],명,16,19,12,18,22,19,15,30,17,7,13,15,11,15,16,4,17
형법범,기타형법범,일수와 수리에 관한 죄,미상,범죄자[명],명,,,1,,,,,,,,1,1,5,1,,,
형법범,기타형법범,교통 방해의 죄,미성년,범죄자[명],명,52,7,19,20,14,25,13,54,10,14,6,5,11,19,6,14,14
형법범,기타형법범,교통 방해의 죄,14세미만,범죄자[명],명,,,3,,,,,1,,,,,,,,,
형법범,기타형법범,교통 방해의 죄,성인,범죄자[명],명,1022,926,1041,1013,1209,1038,1117,1228,1045,1699,950,1025,1232,1485,1546,1866,1504
형법범,기타형법범,교통 방해의 죄,미상,범죄자[명],명,3,5,8,3,4,1,5,1,5,10,54,46,26,26,34,15,31
형법범,기타형법범,음용수에 관한 죄,미성년,범죄자[명],명,,,,,,,,,,,,,,,,,2
형법범,기타형법범,음용수에 관한 죄,성인,범죄자[명],명,34,40,21,22,13,59,43,39,28,33,13,29,28,37,27,27,31
형법범,기타형법범,음용수에 관한 죄,미상,범죄자[명],명,,,,,,,,1,,1,3,3,4,3,1,4,1
형법범,기타형법범,"아편, 몰핀에 관한죄",성인,범죄자[명],명,2,,,,,,,,,,,,,,,,
형법범,기타형법범,과실사상의 죄,미성년,범죄자[명],명,67,75,74,71,51,83,84,59,66,58,64,64,52,58,46,84,66
형법범,기타형법범,과실사상의 죄,14세미만,범죄자[명],명,6,11,8,8,5,2,5,6,2,1,7,2,5,7,1,3,5
형법범,기타형법범,과실사상의 죄,성인,범죄자[명],명,4944,4838,4951,4865,4331,4461,4886,4736,4477,4743,4644,4378,4885,4815,4804,5152,5313
형법범,기타형법범,과실사상의 죄,미상,범죄자[명],명,23,8,7,4,12,18,16,10,13,34,375,203,149,110,100,87,104
형법범,기타형법범,낙태의 죄,미성년,범죄자[명],명,2,,,,1,3,3,2,2,1,,4,3,1,,,2
형법범,기타형법범,낙태의 죄,성인,범죄자[명],명,31,37,18,34,42,57,66,68,38,32,44,41,53,33,51,39,102
형법범,기타형법범,낙태의 죄,미상,범죄자[명],명,1,,,,,1,,,1,1,4,2,,,2,1,
형법범,기타형법범,유기의 죄,미성년,범죄자[명],명,13,7,8,13,3,10,9,19,15,10,13,8,5,8,5,7,7
형법범,기타형법범,유기의 죄,성인,범죄자[명],명,84,91,86,76,87,132,112,126,87,114,187,146,126,153,135,126,110
형법범,기타형법범,유기의 죄,미상,범죄자[명],명,,,,2,,,,,,1,12,2,3,5,4,4,5
형법범,기타형법범,명예에 관한 죄,미성년,범죄자[명],명,16,10,20,13,13,48,65,93,52,42,50,48,62,108,105,143,257
형법범,기타형법범,명예에 관한 죄,14세미만,범죄자[명],명,5,2,4,2,,3,2,18,4,4,14,2,,2,3,6,4
형법범,기타형법범,명예에 관한 죄,성인,범죄자[명],명,4010,4130,4017,4105,4305,6472,7093,7507,7304,7372,7950,9538,10411,11748,14072,15836,15523
형법범,기타형법범,명예에 관한 죄,미상,범죄자[명],명,27,18,26,27,24,51,74,77,100,159,2111,1955,1436,1069,1071,1101,1066
형법범,기타형법범,신용·업무와 경매에 관한 죄,미성년,범죄자[명],명,16,31,43,27,57,50,74,60,49,39,45,47,33,61,70,65,56
형법범,기타형법범,신용·업무와 경매에 관한 죄,14세미만,범죄자[명],명,,1,3,2,2,2,2,3,,2,7,,,3,,1,
형법범,기타형법범,신용·업무와 경매에 관한 죄,성인,범죄자[명],명,4533,4828,4843,5635,5748,7677,8320,9269,10481,10336,10767,13143,16157,20051,21518,23895,20405
형법범,기타형법범,신용·업무와 경매에 관한 죄,미상,범죄자[명],명,42,9,9,14,19,36,19,54,72,57,1277,970,772,670,582,666,507
형법범,기타형법범,비밀침해죄,미성년,범죄자[명],명,,,,,,,,,,,1,1,1,,,,
형법범,기타형법범,비밀침해죄,14세미만,범죄자[명],명,,,,,,,,,,,1,,,,,,
형법범,기타형법범,비밀침해죄,성인,범죄자[명],명,6,6,8,10,2,9,9,13,14,7,20,22,42,37,34,39,45
형법범,기타형법범,비밀침해죄,미상,범죄자[명],명,,,,,,,,,,,7,1,2,2,10,3,6
형법범,기타형법범,주거침입의 죄,미성년,범죄자[명],명,136,101,206,187,175,139,113,74,43,40,43,47,102,188,239,194,198
형법범,기타형법범,주거침입의 죄,14세미만,범죄자[명],명,7,2,2,2,4,2,4,1,,1,1,1,3,4,6,6,1
형법범,기타형법범,주거침입의 죄,성인,범죄자[명],명,900,813,1081,1076,1289,1736,1651,1601,1582,1516,1886,2257,4227,5123,5682,6019,5676
형법범,기타형법범,주거침입의 죄,미상,범죄자[명],명,10,,4,4,1,9,15,14,8,15,186,119,158,78,77,91,113
형법범,기타형법범,권리행사를 방해하는 죄,미성년,범죄자[명],명,6,4,10,10,12,12,7,13,3,11,15,5,9,9,13,22,19
형법범,기타형법범,권리행사를 방해하는 죄,14세미만,범죄자[명],명,2,3,3,1,1,4,3,,,1,5,1,,,,,
형법범,기타형법범,권리행사를 방해하는 죄,성인,범죄자[명],명,2396,2846,3167,3754,5330,5859,4638,4234,3710,3545,4400,4688,5557,5223,4777,5557,5096
형법범,기타형법범,권리행사를 방해하는 죄,미상,범죄자[명],명,19,5,3,4,8,35,21,25,17,26,420,262,224,155,165,127,75
형법범,기타형법범,인질강요,성인,범죄자[명],명,,,,2,,1,,,2,,2,,1,,3,,
형법범,기타형법범,인질강요,미상,범죄자[명],명,,,,,,,,,,,1,,,,,,
형법범,기타형법범,인질상해(치상),성인,범죄자[명],명,,,,,,6,,,,,,4,1,1,,,1
형법범,기타형법범,인질살해(치사),성인,범죄자[명],명,,,,,,,,,,,,,,,,,1
형법범,기타형법범,기타,미성년,범죄자[명],명,,,,,,,,,,,9,14,,2,5,,
형법범,기타형법범,기타,14세미만,범죄자[명],명,,,,,,,,,,,,,,,2,,
형법범,기타형법범,기타,성인,범죄자[명],명,,,,,,,,,,,120,48,68,416,435,15,6
형법범,기타형법범,기타,미상,범죄자[명],명,,,,,,,,,,,21,,3,15,11,,
특별법범,소계,소계,미성년,범죄자[명],명,29709,38374,49712,53861,48140,47209,46868,46541,39699,29289,25284,21469,23888,35653,47713,31971,20494
특별법범,소계,소계,14세미만,범죄자[명],명,772,613,624,614,408,392,399,421,458,416,175,398,297,550,3850,1750,240
특별법범,소계,소계,성인,범죄자[명],명,768568,767778,806258,906474,991332,928678,920461,1008011,1049559,1016483,1168031,955737,929159,1032035,1192948,1116984,916056
특별법범,소계,소계,미상,범죄자[명],명,8101,994,1683,1743,2317,3429,2365,4512,3419,4565,31479,12081,12150,10506,27684,19960,15312
특별법범,가정의례에 관한 법률,소계,미성년,범죄자[명],명,5,,,,,,,,,,,,,,,,
