대분류,중분류,소분류,교육정도별(1),교육정도별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,강력범죄,유사강간,대학(4년미만),중퇴,-,-,1,-,4,3,5,4,10,8,5,4
소계,강력범죄,유사강간,대학(4년미만),졸업,-,-,7,22,22,21,27,36,50,29,36,53
소계,강력범죄,유사강간,대학(4년이상),재중,-,-,9,24,28,36,52,55,64,62,54,60
소계,강력범죄,유사강간,대학(4년이상),중퇴,-,-,1,10,5,11,20,26,36,34,19,24
소계,강력범죄,유사강간,대학(4년이상),졸업,-,-,14,29,55,65,56,95,86,104,120,125
소계,강력범죄,유사강간,대학원,재중,-,-,-,2,6,7,1,11,7,9,8,7
소계,강력범죄,유사강간,대학원,중퇴,-,-,-,1,-,-,3,1,1,1,1,5
소계,강력범죄,유사강간,대학원,졸업,-,-,5,6,4,10,7,13,6,9,21,21
소계,강력범죄,유사강간,기타,소계,-,-,-,4,7,10,9,3,8,9,6,12
소계,강력범죄,유사강간,미상,소계,-,-,13,64,116,122,136,188,229,254,214,219
소계,강력범죄,강제추행,불취학,소계,-,-,108,88,132,125,113,114,115,95,90,62
소계,강력범죄,강제추행,초등학교,재중,-,-,2,-,1,2,4,2,-,3,2,2
소계,강력범죄,강제추행,초등학교,중퇴,-,-,147,186,202,216,214,221,205,174,158,146
소계,강력범죄,강제추행,초등학교,졸업,-,-,585,673,689,676,778,667,629,594,484,479
소계,강력범죄,강제추행,중학교,재중,-,-,200,202,218,228,225,234,210,197,205,272
소계,강력범죄,강제추행,중학교,중퇴,-,-,228,208,233,251,299,279,231,211,201,187
소계,강력범죄,강제추행,중학교,졸업,-,-,710,794,777,795,899,866,848,757,660,676
소계,강력범죄,강제추행,고등학교,재중,-,-,410,418,368,484,471,433,432,343,318,362
소계,강력범죄,강제추행,고등학교,중퇴,-,-,370,338,382,402,399,413,452,344,306,270
소계,강력범죄,강제추행,고등학교,졸업,-,-,3350,3802,3902,4293,4778,4412,4523,4235,3555,3701
소계,강력범죄,강제추행,대학(4년미만),재중,-,-,78,79,87,72,81,89,90,84,64,64
소계,강력범죄,강제추행,대학(4년미만),중퇴,-,-,76,82,87,109,113,100,106,100,77,80
소계,강력범죄,강제추행,대학(4년미만),졸업,-,-,570,638,749,828,975,947,974,898,729,834
소계,강력범죄,강제추행,대학(4년이상),재중,-,-,491,613,669,714,796,823,742,593,538,566
소계,강력범죄,강제추행,대학(4년이상),중퇴,-,-,304,292,358,373,481,472,521,480,383,429
소계,강력범죄,강제추행,대학(4년이상),졸업,-,-,1782,2106,2384,2683,3078,2824,2935,2614,2177,2537
소계,강력범죄,강제추행,대학원,재중,-,-,105,104,117,139,130,112,94,102,78,107
소계,강력범죄,강제추행,대학원,중퇴,-,-,29,38,40,35,48,34,30,27,27,21
소계,강력범죄,강제추행,대학원,졸업,-,-,272,372,483,512,576,509,531,432,423,506
소계,강력범죄,강제추행,기타,소계,-,-,216,215,231,301,277,200,170,160,180,218
소계,강력범죄,강제추행,미상,소계,-,-,2463,2152,2379,2778,3537,3880,4054,3939,3227,4055
소계,강력범죄,기타 강간·강제추행등,불취학,소계,-,-,10,8,6,5,3,-,1,1,2,6
소계,강력범죄,기타 강간·강제추행등,초등학교,재중,-,-,-,-,-,1,-,-,-,1,-,-
소계,강력범죄,기타 강간·강제추행등,초등학교,중퇴,-,-,32,18,8,12,3,8,5,6,4,2
소계,강력범죄,기타 강간·강제추행등,초등학교,졸업,-,-,85,53,38,21,15,18,14,14,16,12
소계,강력범죄,기타 강간·강제추행등,중학교,재중,-,-,69,26,18,18,8,18,18,13,7,15
소계,강력범죄,기타 강간·강제추행등,중학교,중퇴,-,-,67,46,21,21,7,12,12,2,6,7
소계,강력범죄,기타 강간·강제추행등,중학교,졸업,-,-,112,85,38,34,28,30,38,20,16,13
소계,강력범죄,기타 강간·강제추행등,고등학교,재중,-,-,241,115,63,64,53,30,46,27,24,22
소계,강력범죄,기타 강간·강제추행등,고등학교,중퇴,-,-,153,84,59,37,24,31,30,18,14,8
소계,강력범죄,기타 강간·강제추행등,고등학교,졸업,-,-,517,290,164,145,108,116,146,93,96,76
소계,강력범죄,기타 강간·강제추행등,대학(4년미만),재중,-,-,20,10,7,2,-,8,3,-,1,2
소계,강력범죄,기타 강간·강제추행등,대학(4년미만),중퇴,-,-,18,17,10,4,4,3,2,6,6,2
소계,강력범죄,기타 강간·강제추행등,대학(4년미만),졸업,-,-,67,44,29,15,14,14,21,15,5,12
소계,강력범죄,기타 강간·강제추행등,대학(4년이상),재중,-,-,70,50,26,10,9,17,22,12,5,10
소계,강력범죄,기타 강간·강제추행등,대학(4년이상),중퇴,-,-,39,32,16,10,12,9,10,9,4,4
소계,강력범죄,기타 강간·강제추행등,대학(4년이상),졸업,-,-,120,92,37,33,33,45,33,31,16,29
소계,강력범죄,기타 강간·강제추행등,대학원,재중,-,-,9,7,3,3,1,-,-,1,-,-
소계,강력범죄,기타 강간·강제추행등,대학원,중퇴,-,-,2,2,2,1,-,1,2,-,-,1
소계,강력범죄,기타 강간·강제추행등,대학원,졸업,-,-,19,15,6,8,6,4,5,1,2,1
소계,강력범죄,기타 강간·강제추행등,기타,소계,-,-,19,19,13,4,2,3,11,8,-,4
소계,강력범죄,기타 강간·강제추행등,미상,소계,-,-,218,180,122,73,41,91,76,71,47,57
소계,강력범죄,방화,불취학,소계,24,17,24,31,33,29,18,19,17,22,12,12
소계,강력범죄,방화,초등학교,재중,3,4,1,-,-,-,-,-,-,-,-,-
소계,강력범죄,방화,초등학교,중퇴,39,40,47,42,49,39,36,41,35,29,21,16
소계,강력범죄,방화,초등학교,졸업,110,113,138,116,130,103,118,120,81,85,66,74
소계,강력범죄,방화,중학교,재중,57,90,53,64,48,41,39,41,43,35,32,46
소계,강력범죄,방화,중학교,중퇴,78,45,44,52,56,48,30,47,46,27,24,33
소계,강력범죄,방화,중학교,졸업,141,107,148,142,143,142,112,159,117,120,83,91
소계,강력범죄,방화,고등학교,재중,64,73,53,67,30,73,57,48,33,38,29,32
소계,강력범죄,방화,고등학교,중퇴,90,74,66,88,78,77,75,48,51,37,43,47
소계,강력범죄,방화,고등학교,졸업,474,484,436,473,514,429,395,445,432,395,339,377
소계,강력범죄,방화,대학(4년미만),재중,4,5,2,6,5,3,-,8,4,2,2,1
소계,강력범죄,방화,대학(4년미만),중퇴,4,8,7,6,13,12,13,6,8,12,4,9
소계,강력범죄,방화,대학(4년미만),졸업,34,33,42,36,42,34,46,51,56,30,32,43
