대분류,중분류,소분류,교육정도별(1),교육정도별(2),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,강력범,강간,대학(4년미만),재중,40,39,48,72,80,91,88,82,81,97,77,52,71,55,68,67,146
형법범,강력범,강간,대학(4년미만),중퇴,39,29,36,40,54,56,61,77,71,65,62,63,59,70,53,57,103
형법범,강력범,강간,대학(4년미만),졸업,156,162,173,159,193,254,288,301,264,306,311,337,360,408,389,414,656
형법범,강력범,강간,대학(4년이상),재중,100,90,103,95,141,151,201,160,190,191,235,201,228,247,248,250,578
형법범,강력범,강간,대학(4년이상),중퇴,68,61,79,81,78,83,96,105,125,112,104,97,103,105,95,118,253
형법범,강력범,강간,대학(4년이상),졸업,288,243,258,266,342,385,421,451,452,587,576,599,698,752,747,769,1536
형법범,강력범,강간,대학원,소계,29,28,36,34,33,54,68,76,53,78,55,62,68,60,68,98,324
형법범,강력범,강간,기타,소계,23,36,52,38,25,42,53,42,55,53,52,23,72,44,62,81,289
형법범,강력범,강간,미상,소계,135,96,130,210,273,245,229,247,217,241,1256,1542,2274,2501,3050,3432,5283
형법범,강력범,방화,불취학,소계,28,20,26,19,39,33,37,54,29,30,39,50,39,27,45,26,34
형법범,강력범,방화,초등학교,재중,6,8,2,1,1,2,14,8,4,7,7,2,13,3,2,9,-
형법범,강력범,방화,초등학교,중퇴,33,38,35,42,48,49,64,56,61,60,76,74,39,42,41,39,29
형법범,강력범,방화,초등학교,졸업,154,114,121,129,181,188,180,212,176,235,207,201,183,140,138,133,131
형법범,강력범,방화,중학교,재중,6,6,4,19,6,13,14,20,12,8,26,58,39,60,107,78,64
형법범,강력범,방화,중학교,중퇴,51,44,55,43,80,76,65,87,67,104,78,68,53,65,68,65,64
형법범,강력범,방화,중학교,졸업,109,99,105,113,153,153,154,170,161,184,229,228,203,219,205,199,160
형법범,강력범,방화,고등학교,재중,8,4,6,12,25,21,13,17,13,14,29,44,53,76,61,52,66
형법범,강력범,방화,고등학교,중퇴,43,47,46,44,73,70,93,91,74,83,107,81,60,68,74,71,67
형법범,강력범,방화,고등학교,졸업,169,150,202,212,334,286,298,326,374,443,467,517,486,468,569,527,465
형법범,강력범,방화,대학(4년미만),재중,6,1,1,3,5,2,10,8,7,5,1,3,6,5,7,6,6
형법범,강력범,방화,대학(4년미만),중퇴,6,4,4,2,5,9,4,5,11,11,10,11,6,3,8,10,9
형법범,강력범,방화,대학(4년미만),졸업,16,11,13,14,45,20,22,36,22,47,45,48,47,40,55,48,41
형법범,강력범,방화,대학(4년이상),재중,4,1,2,3,6,4,7,19,8,8,10,13,11,15,17,19,5
형법범,강력범,방화,대학(4년이상),중퇴,4,9,9,12,14,7,15,11,18,16,19,18,14,21,20,11,17
형법범,강력범,방화,대학(4년이상),졸업,14,14,19,25,80,34,40,23,35,72,72,56,51,62,48,75,55
형법범,강력범,방화,대학원,소계,-,-,1,-,5,5,5,3,3,5,1,5,7,4,4,8,10
형법범,강력범,방화,기타,소계,4,4,6,6,4,8,10,12,13,12,25,9,9,12,15,24,31
형법범,강력범,방화,미상,소계,26,22,28,48,38,38,42,62,47,73,98,130,167,228,224,276,200
형법범,절도범,소계,불취학,소계,873,770,610,667,948,1074,1004,1028,1028,979,977,1085,914,1076,1282,1416,1349
형법범,절도범,소계,초등학교,재중,374,307,297,231,181,132,195,180,207,82,134,117,186,165,169,117,127
