대분류,중분류,소분류,내·외국인별(1),내·외국인별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,강력범죄,강간,외국인,소계,-,-,121,96,114,126,121,122,164,139,154,230
소계,강력범죄,강간,외국인,미국,-,-,11,13,13,13,17,12,19,21,22,19
소계,강력범죄,강간,외국인,중국,-,-,39,28,31,50,41,43,47,37,44,37
소계,강력범죄,강간,외국인,일본,-,-,1,-,1,1,1,-,-,-,-,-
소계,강력범죄,강간,외국인,몽골,-,-,5,16,7,8,14,6,4,6,12,14
소계,강력범죄,강간,외국인,베트남,-,-,6,3,6,6,2,4,11,7,15,11
소계,강력범죄,강간,외국인,태국,-,-,1,2,2,3,6,4,5,3,-,4
소계,강력범죄,강간,외국인,대만,-,-,2,5,1,-,3,1,2,4,-,1
소계,강력범죄,강간,외국인,러시아,-,-,1,2,-,-,3,6,2,8,5,6
소계,강력범죄,강간,외국인,방글라데시,-,-,5,5,6,-,2,6,9,-,1,18
소계,강력범죄,강간,외국인,스리랑카,-,-,5,-,6,1,1,4,2,1,-,2
소계,강력범죄,강간,외국인,우즈베키스탄,-,-,5,4,14,11,9,10,20,15,8,10
소계,강력범죄,강간,외국인,인도네시아,-,-,-,-,-,-,-,1,2,-,3,-
소계,강력범죄,강간,외국인,캐나다,-,-,-,-,2,1,1,1,4,2,1,2
소계,강력범죄,강간,외국인,키르기스스탄,-,-,1,-,1,-,1,-,2,2,1,-
소계,강력범죄,강간,외국인,필리핀,-,-,2,5,3,2,1,-,1,1,2,2
소계,강력범죄,강간,외국인,파키스탄,-,-,7,2,3,4,-,1,5,8,5,3
소계,강력범죄,강간,외국인,기타,-,-,30,11,18,26,19,23,29,24,35,101
소계,강력범죄,유사강간,한국,소계,-,-,135,376,528,591,681,833,883,912,813,894
소계,강력범죄,유사강간,외국인,소계,-,-,1,13,7,7,13,15,12,22,21,23
소계,강력범죄,유사강간,외국인,미국,-,-,1,6,1,-,-,1,1,1,3,3
소계,강력범죄,유사강간,외국인,중국,-,-,-,2,4,2,5,8,5,6,4,7
소계,강력범죄,유사강간,외국인,일본,-,-,-,-,-,-,-,1,-,-,1,-
소계,강력범죄,유사강간,외국인,몽골,-,-,-,-,-,-,-,-,2,2,1,1
소계,강력범죄,유사강간,외국인,베트남,-,-,-,-,-,-,1,-,-,3,1,1
소계,강력범죄,유사강간,외국인,태국,-,-,-,-,-,1,-,-,1,-,-,3
소계,강력범죄,유사강간,외국인,대만,-,-,-,-,-,1,-,-,1,1,-,-
소계,강력범죄,유사강간,외국인,러시아,-,-,-,-,-,-,1,-,-,1,1,-
소계,강력범죄,유사강간,외국인,방글라데시,-,-,-,-,-,-,-,1,-,-,-,-
소계,강력범죄,유사강간,외국인,스리랑카,-,-,-,-,-,1,1,-,-,-,-,-
소계,강력범죄,유사강간,외국인,우즈베키스탄,-,-,-,1,-,1,1,-,2,2,2,3
소계,강력범죄,유사강간,외국인,인도네시아,-,-,-,-,-,-,-,-,-,-,1,-
소계,강력범죄,유사강간,외국인,캐나다,-,-,-,-,-,-,-,-,-,1,-,-
소계,강력범죄,유사강간,외국인,키르기스스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,유사강간,외국인,필리핀,-,-,-,1,1,-,2,1,-,-,1,-
소계,강력범죄,유사강간,외국인,파키스탄,-,-,-,2,1,-,-,-,-,-,1,1
소계,강력범죄,유사강간,외국인,기타,-,-,-,1,-,1,2,3,-,5,5,4
소계,강력범죄,강제추행,한국,소계,-,-,12144,13028,14024,15533,17690,17017,17345,15956,13530,15128
소계,강력범죄,강제추행,외국인,소계,-,-,352,372,464,483,582,614,547,426,352,446
소계,강력범죄,강제추행,외국인,미국,-,-,19,31,40,34,52,43,36,26,28,33
소계,강력범죄,강제추행,외국인,중국,-,-,108,147,166,186,197,215,206,172,133,174
소계,강력범죄,강제추행,외국인,일본,-,-,9,7,10,3,11,16,12,2,1,4
소계,강력범죄,강제추행,외국인,몽골,-,-,28,18,24,33,32,42,33,22,16,13
소계,강력범죄,강제추행,외국인,베트남,-,-,14,21,11,9,23,8,22,13,20,27
소계,강력범죄,강제추행,외국인,태국,-,-,4,6,12,4,14,21,16,22,15,23
소계,강력범죄,강제추행,외국인,대만,-,-,8,10,3,11,7,8,9,3,5,4
소계,강력범죄,강제추행,외국인,러시아,-,-,8,6,8,14,30,45,41,25,13,11
소계,강력범죄,강제추행,외국인,방글라데시,-,-,9,8,7,6,19,8,5,4,6,8
소계,강력범죄,강제추행,외국인,스리랑카,-,-,21,8,35,15,16,9,11,3,5,6
소계,강력범죄,강제추행,외국인,우즈베키스탄,-,-,24,21,35,30,20,30,26,18,11,32
소계,강력범죄,강제추행,외국인,인도네시아,-,-,1,3,5,3,3,3,1,-,1,1
소계,강력범죄,강제추행,외국인,캐나다,-,-,8,4,10,8,11,9,9,2,9,3
소계,강력범죄,강제추행,외국인,키르기스스탄,-,-,-,-,3,1,2,1,2,1,-,1
소계,강력범죄,강제추행,외국인,필리핀,-,-,4,2,2,16,6,2,1,2,3,4
소계,강력범죄,강제추행,외국인,파키스탄,-,-,21,16,16,19,11,12,11,21,11,8
소계,강력범죄,강제추행,외국인,기타,-,-,66,64,77,91,128,142,106,90,75,94
소계,강력범죄,기타 강간·강제추행등,한국,소계,-,-,1862,1174,673,509,364,443,486,346,263,276
