대분류,중분류,소분류,피해자와의관계별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,강력범죄,강간,미상,-,-,1397,1281,1476,1666,1782,2175,2225,2223,1848,2000
소계,강력범죄,유사강간,국가,-,-,-,-,-,-,1,-,-,-,-,-
소계,강력범죄,유사강간,공무원,-,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,유사강간,고용자,-,-,1,1,3,1,6,5,5,3,9,3
소계,강력범죄,유사강간,피고용자,-,-,1,2,5,7,2,2,4,4,5,5
소계,강력범죄,유사강간,직장동료,-,-,3,9,17,18,25,26,22,32,34,25
소계,강력범죄,유사강간,친구,-,-,10,30,36,57,62,66,65,50,78,58
소계,강력범죄,유사강간,애인,-,-,7,17,29,22,30,41,40,46,45,48
소계,강력범죄,유사강간,동거친족,-,-,5,10,23,22,33,35,36,33,29,21
소계,강력범죄,유사강간,기타친족,-,-,2,5,6,6,11,10,10,9,14,11
소계,강력범죄,유사강간,거래상대방,-,-,2,-,2,9,7,5,4,2,4,4
소계,강력범죄,유사강간,이웃,-,-,7,9,16,12,16,15,15,24,7,12
소계,강력범죄,유사강간,지인,-,-,20,57,76,64,94,161,175,186,166,180
소계,강력범죄,유사강간,타인,-,-,60,180,199,243,255,261,266,272,211,307
소계,강력범죄,유사강간,기타,-,-,7,15,17,31,27,35,32,42,34,48
소계,강력범죄,유사강간,미상,-,-,11,54,106,106,125,186,221,231,198,195
소계,강력범죄,강제추행,국가,-,-,-,-,-,-,20,10,3,-,1,-
소계,강력범죄,강제추행,공무원,-,-,14,7,25,15,12,15,21,14,15,19
소계,강력범죄,강제추행,고용자,-,-,110,138,137,193,192,199,168,202,204,172
소계,강력범죄,강제추행,피고용자,-,-,213,214,219,223,280,225,199,173,184,152
소계,강력범죄,강제추행,직장동료,-,-,374,444,513,545,709,800,807,890,809,839
소계,강력범죄,강제추행,친구,-,-,258,243,309,419,444,394,423,361,413,473
소계,강력범죄,강제추행,애인,-,-,74,82,96,115,139,127,117,136,124,122
소계,강력범죄,강제추행,동거친족,-,-,186,212,221,246,238,284,239,240,202,195
소계,강력범죄,강제추행,기타친족,-,-,97,116,101,110,124,150,143,162,153,139
소계,강력범죄,강제추행,거래상대방,-,-,118,138,141,139,156,141,126,124,99,85
소계,강력범죄,강제추행,이웃,-,-,353,402,368,369,353,329,344,291,243,229
소계,강력범죄,강제추행,지인,-,-,588,773,792,841,998,1617,1636,1785,1643,1545
소계,강력범죄,강제추행,타인,-,-,7404,8642,9176,9958,11082,9292,9534,8046,6607,7600
소계,강력범죄,강제추행,기타,-,-,727,326,498,512,500,579,512,467,494,601
소계,강력범죄,강제추행,미상,-,-,1980,1663,1892,2331,3025,3469,3620,3491,2691,3403
소계,강력범죄,기타 강간·강제추행등,국가,-,-,-,-,-,-,-,-,-,-,-,1
