죄종별(1),죄종별(2),죄종별(3),범죄발생시간별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,폭력범죄,소계,미상,42507,42304,38292,38047,39559,37469,34671,37856,38639,36600,31538,36201
총범죄,폭력범죄,상해,00:00~02:59,10035,7751,6856,6015,5536,6054,5278,4526,4166,3514,2370,2505
총범죄,폭력범죄,상해,03:00~05:59,6528,6107,5382,4613,4464,4735,4426,3660,3408,2951,1683,1913
총범죄,폭력범죄,상해,06:00~08:59,3559,3401,3055,2824,2792,3027,2709,2426,2247,2016,1472,1485
총범죄,폭력범죄,상해,09:00~11:59,4370,4412,4000,3892,3757,3982,3597,3208,2967,2753,2390,2142
총범죄,폭력범죄,상해,12:00~14:59,3046,4254,3980,3656,3619,3839,3516,3282,3025,2730,2507,2255
총범죄,폭력범죄,상해,15:00~17:59,5708,5508,5106,4615,4594,4687,4267,3809,3684,3308,3074,2725
총범죄,폭력범죄,상해,18:00~20:59,8186,7572,6737,6272,5967,6470,5708,5124,4585,4259,4262,3719
총범죄,폭력범죄,상해,21:00~23:59,14170,13043,11925,10555,9874,10354,9228,7956,7433,6546,6579,5997
총범죄,폭력범죄,상해,미상,11604,10294,8843,7839,7402,6880,5882,5775,5343,4827,4116,4065
총범죄,폭력범죄,폭행,00:00~02:59,20939,18911,18379,18554,20562,22672,21395,19941,19226,15946,8810,11838
총범죄,폭력범죄,폭행,03:00~05:59,13954,14228,14321,14265,16200,18194,17631,16811,16377,13505,6101,8589
총범죄,폭력범죄,폭행,06:00~08:59,6482,6918,6977,7116,8169,9597,9412,9409,9345,8012,5609,6549
총범죄,폭력범죄,폭행,09:00~11:59,7391,7942,7846,8492,9794,11261,11236,11742,11591,10517,9719,10187
총범죄,폭력범죄,폭행,12:00~14:59,5367,8129,8357,8821,9944,11586,11508,12011,12509,11525,10942,11253
총범죄,폭력범죄,폭행,15:00~17:59,10095,10848,10509,11249,12511,14027,13903,14604,14791,13960,12858,13063
총범죄,폭력범죄,폭행,18:00~20:59,16446,16806,16485,17394,19528,21765,20798,20925,20704,19596,19282,18742
총범죄,폭력범죄,폭행,21:00~23:59,31607,31950,31658,32167,35870,39182,37016,35219,34120,30110,30009,29602
총범죄,폭력범죄,폭행,미상,14370,14814,14167,14862,16700,17519,16742,18605,18534,16190,12612,15394
총범죄,폭력범죄,체포・감금,00:00~02:59,78,56,72,43,65,103,106,99,96,85,88,81
총범죄,폭력범죄,체포・감금,03:00~05:59,65,69,73,72,68,92,131,90,106,104,68,78
총범죄,폭력범죄,체포・감금,06:00~08:59,56,55,49,70,45,103,121,86,76,70,80,56
총범죄,폭력범죄,체포・감금,09:00~11:59,103,98,105,121,136,146,168,114,122,110,112,95
총범죄,폭력범죄,체포・감금,12:00~14:59,46,89,100,92,97,128,145,122,147,138,104,112
총범죄,폭력범죄,체포・감금,15:00~17:59,83,84,97,98,126,169,150,154,146,140,140,111
총범죄,폭력범죄,체포・감금,18:00~20:59,98,123,111,105,142,183,202,167,135,142,148,145
총범죄,폭력범죄,체포・감금,21:00~23:59,95,114,118,124,150,200,216,162,185,170,192,183
총범죄,폭력범죄,체포・감금,미상,208,188,204,220,199,194,200,213,230,250,233,284
총범죄,폭력범죄,협박,00:00~02:59,254,222,244,268,540,1081,999,1067,1316,1235,1025,1300
총범죄,폭력범죄,협박,03:00~05:59,129,145,195,212,400,797,767,847,1036,1022,769,964
총범죄,폭력범죄,협박,06:00~08:59,112,199,165,229,467,1047,1099,1102,1339,1340,1173,1327
총범죄,폭력범죄,협박,09:00~11:59,400,506,543,612,1045,1810,1780,1890,2288,2225,2252,2193
총범죄,폭력범죄,협박,12:00~14:59,223,427,486,511,879,1710,1731,1769,2251,2348,2425,2392
총범죄,폭력범죄,협박,15:00~17:59,383,473,495,584,998,1973,1945,2094,2687,2799,2776,2683
총범죄,폭력범죄,협박,18:00~20:59,396,544,487,649,1289,2279,2386,2747,3304,3324,3368,3406
총범죄,폭력범죄,협박,21:00~23:59,396,547,599,700,1395,2711,2553,2851,3437,3335,3673,3659
총범죄,폭력범죄,협박,미상,1285,1417,1447,1422,2174,2462,2239,2833,3364,3586,3597,3643
총범죄,폭력범죄,약취・유인,00:00~02:59,19,9,3,6,6,7,11,2,10,7,8,7
총범죄,폭력범죄,약취・유인,03:00~05:59,8,5,3,5,5,9,11,9,12,6,3,2
총범죄,폭력범죄,약취・유인,06:00~08:59,17,14,20,18,10,9,12,13,17,8,9,14
총범죄,폭력범죄,약취・유인,09:00~11:59,25,29,30,23,22,28,27,14,29,21,20,31
총범죄,폭력범죄,약취・유인,12:00~14:59,30,22,27,28,23,26,30,42,41,43,47,42
총범죄,폭력범죄,약취・유인,15:00~17:59,45,34,18,30,35,33,39,35,48,48,59,59
총범죄,폭력범죄,약취・유인,18:00~20:59,34,22,27,27,21,31,30,28,32,24,37,41
총범죄,폭력범죄,약취・유인,21:00~23:59,27,21,12,12,21,14,5,17,13,11,16,22
총범죄,폭력범죄,약취・유인,미상,61,44,48,49,47,44,41,27,48,42,41,58
총범죄,폭력범죄,폭력행위등,00:00~02:59,7874,6915,6152,5408,4878,2136,1870,1415,1234,1116,640,762
총범죄,폭력범죄,폭력행위등,03:00~05:59,6056,5910,5395,4669,4422,2002,1796,1505,1263,1025,518,588
총범죄,폭력범죄,폭력행위등,06:00~08:59,2383,2470,2172,1996,2023,758,588,516,460,394,265,275
총범죄,폭력범죄,폭력행위등,09:00~11:59,2377,2558,2358,2307,2292,667,552,463,450,424,333,331
총범죄,폭력범죄,폭력행위등,12:00~14:59,1915,2787,2484,2353,2242,741,592,503,508,475,460,403
총범죄,폭력범죄,폭력행위등,15:00~17:59,4053,4079,3442,3057,3055,979,810,752,704,632,592,552
총범죄,폭력범죄,폭력행위등,18:00~20:59,5391,5376,4976,4733,4434,1427,1175,943,936,802,913,890
총범죄,폭력범죄,폭력행위등,21:00~23:59,10009,9879,9018,8064,7543,2651,2304,1693,1427,1247,1694,1660
총범죄,폭력범죄,폭력행위등,미상,6671,6751,5707,5102,4797,1941,1568,1414,1368,1283,1069,1284
총범죄,폭력범죄,공갈,00:00~02:59,334,207,164,229,143,161,150,119,135,120,127,183
총범죄,폭력범죄,공갈,03:00~05:59,130,165,108,150,85,106,81,91,122,106,75,81
총범죄,폭력범죄,공갈,06:00~08:59,222,269,150,94,93,88,85,65,74,59,65,98
총범죄,폭력범죄,공갈,09:00~11:59,375,612,338,422,313,353,403,304,388,345,301,293
총범죄,폭력범죄,공갈,12:00~14:59,417,758,378,328,291,326,298,340,455,477,497,672
총범죄,폭력범죄,공갈,15:00~17:59,1013,1173,641,526,387,435,478,485,590,647,658,859
총범죄,폭력범죄,공갈,18:00~20:59,807,935,673,664,510,449,654,587,599,655,622,834
총범죄,폭력범죄,공갈,21:00~23:59,519,591,478,618,417,381,603,491,507,486,464,691
총범죄,폭력범죄,공갈,미상,1422,1988,1380,1831,1357,1446,1400,1614,1977,2386,2322,3193
총범죄,폭력범죄,손괴,00:00~02:59,7676,6316,5957,5654,5681,5793,5291,5213,5107,5001,3363,4323
총범죄,폭력범죄,손괴,03:00~05:59,4813,4938,4850,4656,4597,4615,4704,4524,4556,4357,2677,3495
총범죄,폭력범죄,손괴,06:00~08:59,3400,3621,3445,3630,3860,3924,3960,3905,4014,3971,3295,3612
총범죄,폭력범죄,손괴,09:00~11:59,4408,4486,4512,4664,5208,5178,5085,5130,5277,5232,5127,5119
총범죄,폭력범죄,손괴,12:00~14:59,2704,4224,4005,4268,4560,4860,4506,4694,4983,5198,5209,5197
총범죄,폭력범죄,손괴,15:00~17:59,5889,6059,5725,5890,6117,6210,5994,6144,6289,6722,6693,6817
