대분류,중분류,소분류,범행동기별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,강력범죄,기타 강간·강제추행등,이욕,-,-,180,89,49,44,28,32,41,19,21,12
소계,강력범죄,기타 강간·강제추행등,사행심,-,-,6,2,3,-,-,2,-,4,1,5
소계,강력범죄,기타 강간·강제추행등,보복,-,-,1,-,-,-,-,-,-,-,-,-
소계,강력범죄,기타 강간·강제추행등,가정불화,-,-,5,-,2,5,5,3,2,2,2,2
소계,강력범죄,기타 강간·강제추행등,호기심,-,-,139,99,51,34,20,23,33,15,11,14
소계,강력범죄,기타 강간·강제추행등,유혹,-,-,139,69,32,26,16,14,25,16,11,17
소계,강력범죄,기타 강간·강제추행등,우발적,-,-,614,341,199,156,112,164,162,99,82,93
소계,강력범죄,기타 강간·강제추행등,현실불만,-,-,9,13,13,3,7,-,1,1,2,2
소계,강력범죄,기타 강간·강제추행등,부주의,-,-,37,13,9,2,8,11,11,7,1,2
소계,강력범죄,기타 강간·강제추행등,기타,-,-,577,421,218,199,141,124,142,119,100,87
소계,강력범죄,기타 강간·강제추행등,미상,-,-,180,146,110,52,34,85,78,67,40,49
소계,강력범죄,방화,이욕,71,76,73,20,43,23,22,24,21,17,15,21
소계,강력범죄,방화,사행심,2,2,1,1,-,-,-,-,2,-,1,2
소계,강력범죄,방화,보복,1,1,2,6,2,6,4,4,8,7,2,3
소계,강력범죄,방화,가정불화,136,97,112,120,130,110,90,69,64,62,53,40
소계,강력범죄,방화,호기심,45,62,64,81,40,54,73,23,25,32,39,46
소계,강력범죄,방화,유혹,3,-,2,3,-,3,2,2,-,-,-,-
소계,강력범죄,방화,우발적,576,547,544,595,588,500,467,633,546,519,406,511
소계,강력범죄,방화,현실불만,137,124,143,136,123,120,113,109,85,81,59,72
소계,강력범죄,방화,부주의,38,40,44,41,41,60,30,41,40,46,38,32
소계,강력범죄,방화,기타,345,343,308,358,423,386,342,302,301,247,244,279
소계,강력범죄,방화,미상,165,107,93,105,127,134,143,180,225,185,91,140
소계,절도범죄,소계,이욕,31921,29688,29445,26909,30625,30853,30220,24897,25109,24558,22226,22698
소계,절도범죄,소계,사행심,2065,2023,1906,1650,1724,1600,1729,1729,1802,1854,1607,1926
소계,절도범죄,소계,보복,19,12,10,4,3,7,2,1,5,2,6,2
소계,절도범죄,소계,가정불화,84,74,90,77,67,71,69,29,26,35,40,44
소계,절도범죄,소계,호기심,6923,5583,5299,4813,4882,4680,4274,1438,1474,2799,2756,2924
소계,절도범죄,소계,유혹,3246,3251,3168,2524,2304,2170,2112,1254,1171,1070,1113,1215
소계,절도범죄,소계,우발적,30259,29104,29030,26840,28057,29117,29487,29707,31717,31334,28832,32060
소계,절도범죄,소계,현실불만,472,304,356,272,275,295,278,184,194,180,144,161
소계,절도범죄,소계,부주의,2912,2342,2512,2581,2465,3162,3422,3125,3351,3319,2961,3300
소계,절도범죄,소계,기타,23289,24599,23511,22556,24416,25513,24155,17838,18243,19012,17690,20420
소계,절도범죄,소계,미상,10200,7454,7331,7419,8348,8947,9947,17132,18203,14262,8312,9565
소계,폭력범죄,소계,이욕,11086,12391,7514,4131,3241,3236,2937,2456,2370,2517,2137,2061
소계,폭력범죄,소계,사행심,357,504,343,232,171,231,248,228,272,315,216,221
소계,폭력범죄,소계,보복,139,197,195,220,258,390,255,222,223,221,271,250
소계,폭력범죄,소계,가정불화,4382,4809,5819,5557,18260,23648,20337,18378,20583,17763,19454,16897
소계,폭력범죄,소계,호기심,377,484,391,358,450,542,507,258,267,434,716,662
소계,폭력범죄,소계,유혹,237,318,185,141,120,114,152,148,95,79,82,67
소계,폭력범죄,소계,우발적,181439,176834,163260,152406,143857,137411,132459,139455,142863,130940,118254,126189
소계,폭력범죄,소계,현실불만,6044,6221,5342,4631,4178,4155,3685,2764,2606,2293,1742,1746
소계,폭력범죄,소계,부주의,5007,4652,4429,4694,4358,4678,4343,3349,3263,2976,2789,2795
소계,폭력범죄,소계,기타,75255,87465,78140,76476,77308,78130,72377,53630,49315,47914,43767,46393
소계,폭력범죄,소계,미상,107719,106407,104295,109429,120522,128430,126211,128081,124704,108538,74801,77392
소계,폭력범죄,상해,이욕,1878,1770,1172,274,192,211,144,136,141,159,114,96
소계,폭력범죄,상해,사행심,27,42,48,26,14,23,24,24,14,16,14,15
소계,폭력범죄,상해,보복,25,18,9,10,29,52,55,32,31,43,47,22
소계,폭력범죄,상해,가정불화,1615,1666,1795,1545,3058,3951,3479,3041,2871,2375,2034,1606
소계,폭력범죄,상해,호기심,23,27,27,16,31,30,37,16,25,15,11,21
소계,폭력범죄,상해,유혹,9,17,22,14,12,9,16,7,7,4,1,3
소계,폭력범죄,상해,우발적,54777,50503,44536,39529,35153,36355,32751,32169,30468,27064,22954,21267
소계,폭력범죄,상해,현실불만,1490,1407,1154,917,810,903,723,504,484,398,261,241
소계,폭력범죄,상해,부주의,1269,1035,985,981,851,886,707,514,452,402,353,317
소계,폭력범죄,상해,기타,20302,22212,19870,18325,17011,18123,16090,10966,9303,8594,6752,6588
소계,폭력범죄,상해,미상,7723,6153,5588,5248,4898,5152,4825,5458,5058,4482,3047,3022
소계,폭력범죄,폭행,이욕,1965,2034,1600,374,225,327,250,258,208,289,243,304
소계,폭력범죄,폭행,사행심,37,51,37,25,27,38,34,36,43,49,38,54
소계,폭력범죄,폭행,보복,61,117,126,145,72,116,83,75,76,55,82,85
소계,폭력범죄,폭행,가정불화,1474,1724,2290,2347,10726,15349,12989,11642,12927,11057,12940,11297
소계,폭력범죄,폭행,호기심,33,45,34,35,39,120,88,58,41,60,59,67
소계,폭력범죄,폭행,유혹,27,24,22,21,16,25,27,18,11,11,14,14
소계,폭력범죄,폭행,우발적,55171,55814,56018,55239,55795,60254,60564,66700,69549,62885,57508,65059
소계,폭력범죄,폭행,현실불만,1677,1840,1560,1421,1439,1551,1479,1056,1037,868,608,690
소계,폭력범죄,폭행,부주의,1501,1383,1360,1573,1435,1716,1514,1124,1040,945,883,992
소계,폭력범죄,폭행,기타,21324,24953,23998,25015,27469,32459,30587,23598,21915,20902,19690,22087
소계,폭력범죄,폭행,미상,78512,79990,79292,84971,95065,104902,103130,100236,95863,81327,53569,55583
소계,폭력범죄,체포・감금,이욕,48,65,33,28,38,74,63,53,58,65,36,37
소계,폭력범죄,체포・감금,사행심,2,2,3,2,4,5,17,3,4,9,1,8
소계,폭력범죄,체포・감금,보복,-,-,1,-,4,5,2,4,2,3,1,3
소계,폭력범죄,체포・감금,가정불화,20,17,28,27,43,91,127,71,78,62,71,53
소계,폭력범죄,체포・감금,호기심,2,1,-,-,3,2,2,1,1,3,2,-
소계,폭력범죄,체포・감금,유혹,8,3,2,6,3,5,4,3,2,3,1,1
소계,폭력범죄,체포・감금,우발적,241,283,285,247,319,401,467,446,470,446,454,402
소계,폭력범죄,체포・감금,현실불만,15,17,20,21,12,37,23,17,16,17,17,5
소계,폭력범죄,체포・감금,부주의,25,10,23,18,21,19,22,22,7,26,15,14
소계,폭력범죄,체포・감금,기타,239,265,245,259,281,481,504,307,313,336,351,376
