대분류,중분류,소분류,발생지별(1),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,소계,소계,진주시,3358,3609,3922,4417,5217,5397,6506,5711,4594,5694,5391,4488,4850,5822,5647,6311,5940
형법범,소계,소계,고양시,1736,2699,3414,4048,5980,6018,9991,10349,9346,10413,11576,15009,13768,14778,15761,15826,13298
형법범,소계,소계,제주시,5656,6454,7533,6607,6400,7982,7968,8591,8159,9941,15360,13153,13906,11812,14476,14147,14976
형법범,소계,소계,목포시,3760,3538,3705,4416,5404,5462,5238,5294,5671,7235,7581,7446,6691,5974,6734,7162,7806
형법범,소계,소계,의정부시,3303,3535,3755,4325,4275,4289,4908,5408,6022,6813,7128,7561,9332,8878,9403,10069,8519
형법범,소계,소계,익산시,-,-,-,3354,3931,4177,5011,6030,5263,6090,5058,4623,4603,4294,4678,5760,5998
형법범,소계,소계,이리시,2514,3190,3570,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,소계,소계,군산시,3147,3949,4807,4888,5601,4994,5244,5450,4760,5017,3867,4296,4497,3938,4878,4770,7111
형법범,소계,소계,구미시,2602,2574,2849,3167,3505,5600,7362,5987,5102,5927,7320,6510,6650,6759,6689,7661,7681
형법범,소계,소계,천안시,2081,2521,2645,2875,3732,4952,6584,6009,4925,5286,5793,6998,9194,10597,10523,11748,10744
형법범,소계,소계,여수시,3132,3226,3796,3755,3748,5248,5330,5128,5022,6583,6269,6340,6378,7250,6137,5508,7326
형법범,소계,소계,춘천시,2244,2925,2654,3128,3085,3440,4785,4802,3354,3215,3479,3139,3330,3971,4497,4609,5544
형법범,소계,소계,원주시,1532,1917,2840,2710,3330,4089,5510,4980,4339,4603,4350,4478,5207,5281,6124,6702,7498
형법범,소계,소계,평택시,-,-,-,16163,8881,5254,4725,4671,4366,5058,5847,6178,6316,6833,7024,9114,8079
형법범,소계,소계,경주시,-,-,-,13589,6123,3861,3322,3123,2814,3022,3522,3029,3384,3983,4922,5316,6810
형법범,소계,소계,김해시,-,-,-,2821,4805,4881,6771,5535,6051,7531,5950,6242,6513,6505,6643,8340,12593
형법범,소계,소계,순천시,-,-,-,2613,3174,4557,4661,5341,5397,6676,7228,6456,6855,5467,5894,5623,5714
형법범,소계,소계,군포시,-,-,-,219,614,1596,3181,3241,2755,3062,2688,2709,2855,2586,3484,3760,3373
형법범,소계,소계,남양주시,-,-,-,2887,3800,4767,4197,4453,3507,3397,4614,4712,4690,4884,5542,6450,5915
형법범,소계,소계,강릉시,-,-,-,1355,2742,4002,5828,5062,4233,4514,4367,4196,3895,4707,4340,6017,5028
형법범,소계,소계,충주시,-,-,-,185,365,2630,3912,3595,3266,4116,2868,2256,3240,3871,3866,4021,3793
형법범,소계,소계,안동시,-,-,-,1001,1307,2292,2079,2090,2123,2435,3327,2746,3220,3148,3311,3596,3451
형법범,소계,소계,경산시,-,-,-,113,404,1696,2473,2597,2363,2215,2576,2618,2498,4050,5558,4617,4435
형법범,소계,소계,아산시,-,-,-,1672,2381,2539,3213,2880,2392,2511,2470,2514,3356,2929,2772,2854,3938
형법범,소계,소계,거제시,-,-,-,1901,2293,1823,2532,2622,2026,2363,2854,2530,2498,2646,3247,3318,3581
형법범,소계,소계,김천시,-,-,-,867,1100,1261,1714,1661,1668,1691,1768,1743,1622,1579,1682,1839,1825
