대분류,중분류,소분류,내·외국인별(1),내·외국인별(2),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,기타형법범,내란의 죄,한국인,민간인,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
형법범,기타형법범,외환의 죄,한국인,소계,9,-,-,-,1,1,-,7,1,-,-,-,-,-,-,-,-
형법범,기타형법범,외환의 죄,한국인,민간인,9,-,-,-,1,1,-,7,1,-,-,-,-,-,-,-,-
형법범,기타형법범,국기에 관한 죄,한국인,소계,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
형법범,기타형법범,국기에 관한 죄,한국인,민간인,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,한국인,소계,53,54,52,123,81,104,65,80,60,43,42,41,82,51,67,26,21
형법범,기타형법범,공안을 해하는 죄,한국인,민간인,53,54,52,123,81,104,65,80,60,43,42,41,82,51,67,26,21
형법범,기타형법범,폭발물에 관한 죄,한국인,소계,-,-,1,1,2,1,-,6,-,1,-,2,-,1,9,-,4
형법범,기타형법범,폭발물에 관한 죄,한국인,민간인,-,-,1,1,2,1,-,6,-,1,-,2,-,1,8,-,4
형법범,기타형법범,폭발물에 관한 죄,한국인,군인,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
형법범,기타형법범,공무방해에 관한 죄,한국인,소계,6153,5864,6998,8161,9169,9516,9494,10643,11283,11260,12676,11948,13959,18146,19680,19870,16108
형법범,기타형법범,공무방해에 관한 죄,한국인,민간인,6151,5860,6997,8157,9165,9515,9493,10643,11283,11259,12674,11944,13951,18141,19675,19861,16104
형법범,기타형법범,공무방해에 관한 죄,한국인,군인,2,4,1,4,4,1,1,-,-,1,2,4,8,5,5,9,4
형법범,기타형법범,공무방해에 관한 죄,외국인,소계,5,7,4,-,1,19,7,17,5,11,35,20,77,70,157,136,120
형법범,기타형법범,공무방해에 관한 죄,외국인,미국인,5,4,1,-,-,13,5,4,1,-,2,3,6,2,8,5,10
형법범,기타형법범,공무방해에 관한 죄,외국인,중국인,-,1,3,-,1,5,3,11,4,10,33,17,71,68,148,128,107
형법범,기타형법범,공무방해에 관한 죄,외국인,일본인,-,2,-,-,-,1,-,2,-,1,-,-,-,-,1,3,3
형법범,기타형법범,공무방해에 관한 죄,기타외국인,소계,-,-,1,-,-,2,3,3,8,7,23,12,16,80,41,56,36
형법범,기타형법범,도주와 도주원조죄,한국인,소계,79,36,10,28,112,106,182,80,104,109,14,9,11,15,6,12,9
형법범,기타형법범,도주와 도주원조죄,한국인,민간인,79,36,10,28,112,106,182,80,104,109,14,9,11,15,6,12,9
형법범,기타형법범,도주와 도주원조죄,외국인,소계,-,-,-,-,-,-,-,-,1,1,-,-,-,1,1,-,-
형법범,기타형법범,도주와 도주원조죄,외국인,미국인,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
형법범,기타형법범,도주와 도주원조죄,외국인,중국인,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-
형법범,기타형법범,도주와 도주원조죄,기타외국인,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
형법범,기타형법범,범인은닉·범인도피죄,한국인,소계,454,467,590,660,768,765,847,1049,1045,1024,860,491,472,521,530,632,590
형법범,기타형법범,범인은닉·범인도피죄,한국인,민간인,454,467,589,659,767,764,847,1049,1044,1024,860,490,472,521,530,632,588
형법범,기타형법범,범인은닉·범인도피죄,한국인,군인,-,-,1,1,1,1,-,-,1,-,-,1,-,-,-,-,2
형법범,기타형법범,범인은닉·범인도피죄,외국인,소계,1,-,1,-,-,2,-,4,3,2,-,-,-,-,2,3,1
형법범,기타형법범,범인은닉·범인도피죄,외국인,미국인,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-
형법범,기타형법범,범인은닉·범인도피죄,외국인,중국인,-,-,-,-,-,1,-,4,3,2,-,-,-,-,2,2,1
형법범,기타형법범,범인은닉·범인도피죄,기타외국인,소계,-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,5,2
형법범,기타형법범,위증죄,한국인,소계,2453,2182,1990,2167,2265,3040,2882,2632,2319,2105,2763,2687,2671,2775,2939,3082,3040
형법범,기타형법범,위증죄,한국인,민간인,2453,2182,1990,2167,2265,3040,2882,2632,2319,2105,2762,2687,2670,2774,2939,3078,3038
형법범,기타형법범,위증죄,한국인,군인,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,4,2
형법범,기타형법범,위증죄,외국인,소계,3,2,1,1,-,1,2,2,2,1,2,2,-,4,3,-,2
형법범,기타형법범,위증죄,외국인,미국인,2,1,1,1,-,-,1,-,1,1,-,-,-,2,-,-,1
형법범,기타형법범,위증죄,외국인,중국인,1,1,-,-,-,1,-,-,-,-,2,2,-,1,3,-,1
형법범,기타형법범,위증죄,외국인,일본인,-,-,-,-,-,-,1,2,1,-,-,-,-,1,-,-,-
형법범,기타형법범,위증죄,기타외국인,소계,-,-,-,-,-,-,-,2,-,-,2,1,-,-,-,1,3
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,한국인,소계,60,109,46,45,59,67,74,79,82,69,48,51,78,74,51,72,99
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,한국인,민간인,60,109,46,45,59,67,74,79,82,69,48,51,78,74,51,72,98
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,한국인,군인,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
형법범,기타형법범,허위감정·증거인멸은닉·증인은닉죄,기타외국인,소계,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
형법범,기타형법범,무고의 죄,한국인,소계,1803,1688,1721,1863,1879,2622,2614,2640,2481,2444,3086,3255,3324,2893,3106,3717,3731
형법범,기타형법범,무고의 죄,한국인,민간인,1803,1688,1720,1863,1879,2622,2612,2640,2481,2444,3084,3254,3324,2893,3105,3715,3729
형법범,기타형법범,무고의 죄,한국인,군인,-,-,1,-,-,-,2,-,-,-,2,1,-,-,1,2,2
형법범,기타형법범,무고의 죄,외국인,소계,2,1,2,-,-,3,2,7,3,1,4,1,3,2,2,3,10
형법범,기타형법범,무고의 죄,외국인,미국인,1,1,2,-,-,-,-,-,2,-,1,-,1,-,2,1,6
형법범,기타형법범,무고의 죄,외국인,중국인,1,-,-,-,-,2,1,4,-,1,3,1,2,1,-,2,3
형법범,기타형법범,무고의 죄,외국인,일본인,-,-,-,-,-,1,1,3,1,-,-,-,-,1,-,-,1
