대분류,중분루,소분류,피해자와의 관계별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,절도범,소계,거래상대방,770,767,725,762,1072,1208,933,922,987,976,891,746,816,735,811,1155,1513
형법범,절도범,소계,이 웃,1548,1072,933,781,1175,1101,1110,949,957,829,827,793,766,980,1041,1369,1652
형법범,절도범,소계,지 인,2290,2315,2394,2408,3242,3602,3545,3838,4271,3898,2961,2700,2900,3085,3108,4139,3348
형법범,절도범,소계,타 인,36936,37411,37695,40114,52410,46379,46482,40636,42262,40805,46368,50195,55372,66655,68786,88294,80075
형법범,절도범,소계,기 타,7782,7044,7064,8738,10937,9716,9249,8005,9477,9844,11782,12060,13309,14386,15104,20871,22739
형법범,폭력범,소계,국 가,4240,3819,4455,6086,9042,9913,6475,7645,4181,4509,1353,1525,1447,1589,1220,688,298
형법범,폭력범,소계,공무원,1391,966,962,959,1111,1282,1309,1398,1420,1468,1204,1016,744,700,621,630,485
형법범,폭력범,소계,고용자,1432,1125,1185,1037,1305,1499,1863,1653,1555,1510,1454,1387,1263,1248,1105,1072,1297
형법범,폭력범,소계,피고용자,1411,1173,1133,1102,1300,1495,1839,1871,1444,1531,1789,1854,1559,1410,1376,1217,1154
형법범,폭력범,소계,직장동료,10862,9100,9190,8210,7421,9763,10962,10252,9008,8919,11431,10743,10546,10219,10789,10716,9172
형법범,폭력범,소계,친 구,7105,6800,6960,7047,7278,8807,9286,8865,7247,7043,11213,10636,10491,11594,12748,13816,10886
형법범,폭력범,소계,애 인,3706,3582,4024,3937,5097,6952,8131,8979,8223,8366,10370,9556,9298,9923,10057,10097,8722
형법범,폭력범,소계,동거친족,4741,4296,4220,3912,8268,18805,19881,20379,17573,20201,19129,16955,14862,14898,14563,13290,9843
형법범,폭력범,소계,기타친족,3568,3154,3047,3082,4230,5872,6258,6143,4857,4936,6153,5679,5586,5420,5382,4951,4442
형법범,폭력범,소계,거래상대방,6613,6400,6196,6231,8516,10297,8923,8585,6940,7141,6339,5399,4995,4491,4293,4028,4784
형법범,폭력범,소계,이 웃,18118,14567,13776,12423,14736,17962,18408,17874,14754,14257,15274,14455,13381,12852,12997,12677,13787
형법범,폭력범,소계,지 인,25251,28332,31171,32149,37878,47943,49343,48410,39400,39828,32657,30219,28002,27061,26375,25649,19863
형법범,폭력범,소계,타 인,187377,190378,195402,202754,216603,255996,292142,288846,248393,236036,241261,228848,222196,231159,224728,217962,183673
형법범,폭력범,소계,기 타,56932,51372,54373,61092,64494,78467,82801,83035,71920,79918,92926,97493,105358,118070,128388,133952,130778
형법범,지능범,소계,국 가,3989,4206,4643,6116,10059,17742,7267,7700,6572,7062,8162,12556,15336,16984,18419,18456,17229
형법범,지능범,소계,공무원,107,86,68,104,115,709,126,78,85,65,214,264,231,241,216,259,301
형법범,지능범,소계,고용자,3546,4029,4571,4370,5425,6323,5171,5302,5580,6023,8362,5757,5255,4521,3854,3787,3588
형법범,지능범,소계,피고용자,2124,2143,2409,2184,2994,3034,2548,2411,2359,2639,3148,1946,1758,1318,1077,981,926
형법범,지능범,소계,직장동료,1824,1631,1710,1810,2236,2658,2453,2349,2241,2361,3323,2562,2284,1871,1772,1848,1266
형법범,지능범,소계,친 구,1949,1773,1933,1886,2620,2929,2614,2671,2834,3187,5072,3376,2665,2191,2080,2190,1716
형법범,지능범,소계,애 인,667,752,872,841,991,1133,1210,1527,2085,2302,2583,1593,1342,1170,1095,1095,1017
형법범,지능범,소계,동거친족,579,565,636,681,754,970,892,883,990,1121,982,710,606,533,458,453,374
형법범,지능범,소계,기타친족,1610,1561,1616,1704,1902,2681,2537,2459,2399,2738,2935,2316,2234,1641,1595,1438,1289
형법범,지능범,소계,거래상대방,25224,39562,49429,43534,51369,52007,41652,41409,41687,43885,42250,33190,31272,27905,24729,26743,28744
형법범,지능범,소계,이 웃,2807,2947,3132,2646,3329,4734,3823,3164,2533,2639,3123,2293,1789,1473,1281,1379,1588
형법범,지능범,소계,지 인,15547,19688,23358,26288,31697,36706,29754,26748,25877,29445,29494,20163,16819,12853,10636,10874,7286
형법범,지능범,소계,타 인,39392,51804,62756,58943,74370,78553,63765,66862,75743,83857,77657,61372,59244,54211,52900,60158,47083
형법범,지능범,소계,기 타,36600,45288,58871,58913,68631,75321,53956,58421,60456,74449,209447,207006,226654,215460,243050,271038,248238
형법범,풍속범,소계,국 가,24992,25070,23160,24736,27706,32978,39034,39151,33777,23794,28413,22566,41288,28193,28893,46882,26218
형법범,풍속범,소계,공무원,10,11,10,10,3,7,7,12,9,8,38,24,25,17,18,39,25
형법범,풍속범,소계,고용자,21,11,9,5,14,13,13,5,7,4,9,7,12,5,5,1,3
형법범,풍속범,소계,피고용자,26,13,16,11,11,26,17,23,7,15,13,11,32,19,8,31,8
형법범,풍속범,소계,직장동료,275,210,144,115,162,172,181,162,117,104,394,350,373,353,396,478,311
형법범,풍속범,소계,친 구,183,142,102,82,98,106,110,73,68,56,303,227,216,276,298,284,203
형법범,풍속범,소계,애 인,593,489,418,334,355,361,330,349,303,253,333,204,200,165,127,94,41
형법범,풍속범,소계,동거친족,3936,3616,3320,2560,2685,2779,2881,2742,2468,2287,1745,1282,1062,904,596,644,473
형법범,풍속범,소계,기타친족,140,108,115,110,134,113,129,131,108,112,163,98,99,83,77,63,57
형법범,풍속범,소계,거래상대방,162,179,141,118,156,193,286,181,157,91,77,96,126,94,99,124,96
형법범,풍속범,소계,이 웃,322,246,209,178,199,235,172,128,144,130,204,165,163,134,153,185,202
형법범,풍속범,소계,지 인,893,905,820,837,799,988,811,783,739,525,596,457,398,514,471,590,253
형법범,풍속범,소계,타 인,4131,4330,3738,3165,3776,3961,4874,4267,3851,3313,3067,2594,4795,3571,3624,4513,2170
형법범,풍속범,소계,기 타,10500,9904,10548,10453,9998,12725,13635,13502,13776,11785,15238,12944,15418,12249,11500,17759,13131
형법범,기타형법범,소계,국 가,3851,3815,4624,5252,6402,6649,6363,7099,7434,7919,5068,4716,5369,7271,7338,8241,6108
형법범,기타형법범,소계,공무원,1524,1207,1509,1506,1552,1583,1839,2256,2527,2767,3600,3381,4154,5985,7959,8740,7476
형법범,기타형법범,소계,고용자,938,865,755,949,1221,1590,1453,1688,2092,1461,1428,2152,1602,1890,1394,1336,1486
형법범,기타형법범,소계,피고용자,702,669,619,726,713,747,893,953,1180,995,891,820,913,842,716,644,742
형법범,기타형법범,소계,직장동료,1266,1235,1289,1122,967,1166,1358,1281,1394,1267,1420,1421,1282,1460,1209,1369,1062
형법범,기타형법범,소계,친 구,224,131,129,147,132,220,237,218,168,176,327,278,282,307,359,421,343
형법범,기타형법범,소계,애 인,62,58,65,77,63,97,115,134,131,140,197,193,342,508,601,591,580
형법범,기타형법범,소계,동거친족,275,215,214,19,177,286,275,277,231,274,270,224,216,256,271,263,219
형법범,기타형법범,소계,기타친족,464,413,359,413,419,604,571,585,474,487,628,546,541,607,621,527,586
형법범,기타형법범,소계,거래상대방,1383,1488,1476,1904,2290,2656,2456,2275,1936,1791,2309,1942,2231,2298,2272,2359,2748
형법범,기타형법범,소계,이 웃,1866,1561,1474,1298,1304,1743,2175,2131,1950,1792,1803,1824,1816,1844,1958,2025,2295
형법범,기타형법범,소계,지 인,2205,2544,2556,2920,2995,4367,4389,4215,3710,3574,3110,2758,2925,2747,2617,2715,1850
형법범,기타형법범,소계,타 인,10804,10816,11108,11478,12917,15123,15079,15150,14719,14591,16077,16301,20069,25140,26867,29569,24809
형법범,기타형법범,소계,기 타,8283,8177,8760,9890,10692,12688,12165,12426,12058,13177,21993,25395,29412,30718,32241,35826,36037
형법범,기타형법범,장물에 관한죄,국 가,136,144,185,199,437,456,380,261,251,178,173,297,260,559,352,481,479
형법범,기타형법범,장물에 관한죄,공무원,2,-,-,-,-,1,1,1,2,-,-,1,-,1,2,2,2
형법범,기타형법범,장물에 관한죄,고용자,4,3,3,2,4,8,10,4,10,1,6,2,9,22,2,2,10
형법범,기타형법범,장물에 관한죄,피고용자,1,3,2,3,3,2,4,2,3,-,3,5,5,5,1,15,1
형법범,기타형법범,장물에 관한죄,직장동료,8,3,4,-,11,2,3,2,3,-,4,2,11,-,7,5,5
형법범,기타형법범,장물에 관한죄,친 구,28,16,8,11,5,9,17,3,4,2,8,11,13,12,15,41,24
형법범,기타형법범,장물에 관한죄,애 인,-,-,1,-,1,1,-,1,1,-,1,-,2,1,2,-,-
형법범,기타형법범,장물에 관한죄,동거친족,1,2,-,1,1,1,1,2,-,-,-,-,1,-,1,5,5
형법범,기타형법범,장물에 관한죄,기타친족,3,1,-,1,2,1,3,1,2,2,-,2,1,-,-,-,1
형법범,기타형법범,장물에 관한죄,거래상대방,66,39,63,43,67,81,45,51,31,51,39,31,53,39,31,32,119
형법범,기타형법범,장물에 관한죄,이 웃,26,11,10,6,12,10,10,12,4,5,5,5,7,3,6,3,10
형법범,기타형법범,장물에 관한죄,지 인,44,55,45,55,50,69,57,65,38,28,20,37,25,24,32,23,22
형법범,기타형법범,장물에 관한죄,타 인,1316,1242,1203,1186,1920,2000,1666,1231,992,964,1242,1493,1848,2390,1462,2397,2691
형법범,기타형법범,장물에 관한죄,기 타,566,488,465,504,721,859,687,471,453,554,495,544,575,603,620,919,1124
형법범,기타형법범,특가법(장물),국 가,1,4,2,3,3,16,15,8,7,8,3,12,1,6,8,10,8
형법범,기타형법범,특가법(장물),공무원,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
형법범,기타형법범,특가법(장물),고용자,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-
형법범,기타형법범,특가법(장물),피고용자,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
형법범,기타형법범,특가법(장물),직장동료,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
형법범,기타형법범,특가법(장물),친 구,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1
형법범,기타형법범,특가법(장물),거래상대방,1,-,1,-,-,5,6,1,-,-,1,-,3,-,-,3,1
형법범,기타형법범,특가법(장물),이 웃,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,특가법(장물),지 인,3,-,1,-,-,2,-,-,1,1,-,-,-,-,-,1,-
형법범,기타형법범,특가법(장물),타 인,24,7,33,20,17,37,39,25,10,24,27,83,45,26,10,40,20
형법범,기타형법범,특가법(장물),기 타,6,5,6,8,28,19,23,14,7,26,17,26,16,11,4,13,20
형법범,기타형법범,내란의 죄,국 가,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
형법범,기타형법범,외환의 죄,국 가,-,-,-,-,1,-,-,6,1,-,-,-,-,-,-,-,-
형법범,기타형법범,외환의 죄,지 인,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,외환의 죄,타 인,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
형법범,기타형법범,외환의 죄,기 타,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,국기에 관한 죄,국 가,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,국 가,6,4,15,7,24,24,12,4,7,3,8,2,20,2,10,4,3
형법범,기타형법범,공안을 해하는 죄,공무원,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,피고용자,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,직장동료,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,친 구,2,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-
형법범,기타형법범,공안을 해하는 죄,애 인,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,기타친족,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,거래상대방,2,3,-,-,1,2,2,6,1,-,2,1,2,2,-,-,-
형법범,기타형법범,공안을 해하는 죄,이 웃,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,지 인,2,-,-,12,1,4,5,2,-,-,1,-,1,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,타 인,28,36,24,57,29,43,34,32,39,33,22,25,18,21,15,8,11
형법범,기타형법범,공안을 해하는 죄,기 타,12,9,13,46,26,30,10,27,13,7,9,12,41,25,42,14,7
형법범,기타형법범,폭발물에 관한 죄,국 가,-,-,-,-,-,-,-,-,-,-,-,1,-,-,5,-,4
형법범,기타형법범,폭발물에 관한 죄,고용자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
형법범,기타형법범,폭발물에 관한 죄,타 인,-,-,-,1,2,1,-,3,-,1,-,-,-,-,-,-,-
형법범,기타형법범,폭발물에 관한 죄,기 타,-,-,1,-,-,-,-,3,-,-,-,1,-,1,3,-,-
형법범,기타형법범,공무방해에 관한 죄,국 가,2157,2206,2705,3184,3584,3705,3558,4291,4683,4436,3333,3050,3604,4782,4888,5185,4088
형법범,기타형법범,공무방해에 관한 죄,공무원,1475,1176,1394,1461,1506,1517,1753,2204,2477,2664,3476,3247,4040,5361,6497,6523,5727
형법범,기타형법범,공무방해에 관한 죄,고용자,5,5,2,4,12,17,26,9,25,13,8,22,23,15,14,38,9
형법범,기타형법범,공무방해에 관한 죄,피고용자,6,4,9,10,19,15,17,9,14,17,17,11,7,20,14,16,12
형법범,기타형법범,공무방해에 관한 죄,직장동료,17,18,6,13,10,10,23,7,15,15,30,15,34,46,28,28,18
형법범,기타형법범,공무방해에 관한 죄,친 구,17,9,12,9,13,12,18,11,17,15,24,27,27,33,29,48,21
형법범,기타형법범,공무방해에 관한 죄,애 인,4,3,5,2,5,6,5,9,7,10,14,11,19,37,44,33,26
형법범,기타형법범,공무방해에 관한 죄,동거친족,10,5,2,1,9,15,18,8,17,29,19,28,29,47,47,44,27
형법범,기타형법범,공무방해에 관한 죄,기타친족,6,6,6,14,5,7,18,14,13,7,8,13,21,28,21,22,31
형법범,기타형법범,공무방해에 관한 죄,거래상대방,231,299,300,385,424,492,407,322,249,215,285,281,241,257,219,220,202
형법범,기타형법범,공무방해에 관한 죄,이 웃,20,31,29,15,29,31,26,24,16,18,39,33,29,50,41,36,38
형법범,기타형법범,공무방해에 관한 죄,지 인,130,163,159,185,247,301,243,169,149,155,174,117,143,128,130,122,77
형법범,기타형법범,공무방해에 관한 죄,타 인,1161,1083,1330,1469,1777,1760,2039,2140,2283,2163,3330,3227,3877,5334,5668,5451,3913
형법범,기타형법범,공무방해에 관한 죄,기 타,919,863,1044,1409,1530,1649,1353,1446,1331,1521,1977,1898,1958,2158,2238,2296,2075
형법범,기타형법범,도주와 도주원조죄,국 가,5,1,2,1,7,5,30,1,4,4,10,3,5,5,6,7,9
형법범,기타형법범,도주와 도주원조죄,공무원,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-
형법범,기타형법범,도주와 도주원조죄,피고용자,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,도주와 도주원조죄,친 구,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,도주와 도주원조죄,애 인,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-
형법범,기타형법범,도주와 도주원조죄,동거친족,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,도주와 도주원조죄,기타친족,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
형법범,기타형법범,도주와 도주원조죄,거래상대방,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-
