대분류,중분류,소분류,은신처별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,지능범,소계,자기집,64513,83228,94529,92506,110155,115605,84738,85332,89471,99448,101433,89496,83774,70941,68340,76195,73632
형법범,지능범,소계,공범집,36,19,28,210045,256531,285537,217798,33,50,41,308,264,183,174,184,196,96
형법범,지능범,소계,애인집,108,93,105,104,134,101,126,120,157,150,276,248,198,249,186,241,270
형법범,지능범,소계,친족집,461,447,478,457,604,610,539,458,391,400,1070,738,644,646,543,525,438
형법범,지능범,소계,지인집,477,394,482,436,539,477,414,428,390,433,2764,2358,2004,1867,1799,1825,1328
형법범,지능범,소계,숙박업소,373,310,353,358,466,405,351,453,496,466,1179,1053,991,1193,1240,1540,1457
형법범,지능범,소계,야 외,186,299,442,477,747,549,343,394,374,380,906,738,733,752,772,846,838
형법범,지능범,소계,현장검거,1935,2591,2798,3680,6459,14781,10147,10388,11266,10706,11768,6750,6275,7293,7829,9011,7756
형법범,지능범,소계,외 국,235,202,304,381,444,508,461,552,561,553,1246,1139,1023,998,953,980,810
형법범,지능범,소계,기 타,67641,88452,116485,111596,136905,152427,120619,123826,128285,149196,275802,252320,271664,258259,281316,309340,274020
형법범,풍속범,소계,자기집,8909,8147,7678,6580,6780,7157,6446,6691,5503,4922,5616,4461,7534,5887,7033,21038,9946
형법범,풍속범,소계,공범집,449,232,212,42907,46213,54767,62650,153,86,103,102,87,81,97,78,163,95
형법범,풍속범,소계,애인집,302,210,176,91,111,112,97,100,79,71,94,46,60,33,19,41,17
형법범,풍속범,소계,친족집,74,57,29,42,48,45,59,48,46,29,192,127,180,114,105,148,59
형법범,풍속범,소계,지인집,135,102,91,52,83,84,58,64,45,33,129,135,168,157,130,191,119
형법범,풍속범,소계,숙박업소,450,238,226,137,142,121,135,125,105,85,109,99,124,75,54,84,79
형법범,풍속범,소계,야 외,27,38,47,19,100,28,29,44,30,20,39,40,63,46,58,158,53
형법범,풍속범,소계,현장검거,18589,20823,19414,21332,24222,31175,37387,36954,33944,24468,31364,24795,38420,26257,26532,26426,20128
형법범,풍속범,소계,외 국,19,29,21,23,21,24,17,17,24,18,31,28,39,50,47,98,42
형법범,풍속범,소계,기 타,17230,15358,14856,14245,14472,15801,18082,17313,15669,12728,12917,11207,17538,13861,12209,23340,12653
형법범,기타형법범,소계,자기집,14666,14553,14008,15701,16589,19936,18541,18469,17900,16854,17928,18022,17812,18307,18761,20864,20794
형법범,기타형법범,소계,공범집,24,14,11,37889,41859,49530,49379,7,13,14,34,35,32,36,38,44,25
형법범,기타형법범,소계,애인집,14,7,11,12,13,9,10,9,10,4,14,14,19,11,20,18,21
형법범,기타형법범,소계,친족집,37,30,32,26,30,40,39,23,25,35,92,81,95,132,116,157,88
형법범,기타형법범,소계,지인집,51,34,36,42,34,38,33,32,37,27,160,134,125,131,146,156,116
형법범,기타형법범,소계,숙박업소,67,46,45,42,58,33,43,32,56,39,62,86,76,100,86,110,85
형법범,기타형법범,소계,야 외,64,54,100,75,115,78,66,60,52,46,84,80,117,151,200,277,264
형법범,기타형법범,소계,현장검거,4356,4500,5151,5398,6642,6962,8074,9167,10294,10436,13156,12734,16396,23481,27314,28843,23639
형법범,기타형법범,소계,외 국,21,17,36,21,32,18,32,31,17,34,77,92,96,94,86,79,53
형법범,기타형법범,소계,기 타,14547,13939,15507,16556,18316,22394,22519,22858,21600,22922,27514,30673,36386,39430,39656,44078,41256
형법범,기타형법범,장물에 관한죄,자기집,1098,831,778,741,1271,1279,973,685,544,520,712,936,1049,1528,994,1744,2319
형법범,기타형법범,장물에 관한죄,공범집,12,3,2,3,5,2,3,1,6,-,3,8,2,3,-,4,4
형법범,기타형법범,장물에 관한죄,애인집,2,-,5,5,5,2,4,1,5,2,4,7,9,3,4,-,4
형법범,기타형법범,장물에 관한죄,친족집,4,3,3,-,2,2,2,-,2,3,3,9,6,1,-,9,1
형법범,기타형법범,장물에 관한죄,지인집,8,5,11,7,3,12,2,4,5,3,8,8,17,10,7,17,10
형법범,기타형법범,장물에 관한죄,숙박업소,21,16,18,8,10,9,5,7,11,5,12,29,11,16,12,13,15
형법범,기타형법범,장물에 관한죄,야 외,19,29,44,30,38,22,23,7,15,22,12,16,36,17,21,20,45
형법범,기타형법범,장물에 관한죄,현장검거,148,154,155,193,339,345,272,203,182,120,173,178,153,141,114,181,118
형법범,기타형법범,장물에 관한죄,외 국,-,-,1,2,1,-,2,-,1,2,3,9,7,9,-,2,6
형법범,기타형법범,장물에 관한죄,기 타,889,966,972,1022,1560,1827,1598,1199,1023,1108,1066,1230,1520,1931,1381,1935,1971
형법범,기타형법범,특가법(장물),자기집,26,6,7,10,12,10,26,16,6,24,13,48,27,20,16,37,31
형법범,기타형법범,특가법(장물),공범집,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-
형법범,기타형법범,특가법(장물),애인집,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
형법범,기타형법범,특가법(장물),친족집,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-
형법범,기타형법범,특가법(장물),지인집,-,-,-,-,2,-,-,-,-,1,-,1,-,-,-,-,-
형법범,기타형법범,특가법(장물),숙박업소,1,-,-,-,-,-,1,-,-,1,1,2,4,-,-,-,-
형법범,기타형법범,특가법(장물),야 외,-,-,3,-,-,-,-,1,-,-,-,2,1,1,-,-,-
형법범,기타형법범,특가법(장물),현장검거,1,2,6,1,-,3,9,1,1,5,7,4,4,2,-,1,4
형법범,기타형법범,특가법(장물),외 국,-,-,-,-,-,-,-,1,-,1,-,2,-,-,-,-,-
형법범,기타형법범,특가법(장물),기 타,7,8,28,20,32,66,47,29,18,27,25,63,29,21,7,30,15
형법범,기타형법범,내란의 죄,기 타,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-
형법범,기타형법범,외환의 죄,자기집,-,-,-,-,-,1,-,7,1,-,-,-,-,-,-,-,-
형법범,기타형법범,외환의 죄,기 타,9,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,국기에 관한 죄,자기집,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,국기에 관한 죄,현장검거,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,자기집,8,23,13,26,22,22,13,6,14,9,16,12,10,10,8,4,5
형법범,기타형법범,공안을 해하는 죄,공범집,3,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,애인집,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,친족집,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,지인집,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,숙박업소,2,-,1,7,-,1,-,1,-,6,-,-,5,-,1,-,-
형법범,기타형법범,공안을 해하는 죄,야 외,-,-,-,8,-,4,1,-,-,-,1,-,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,현장검거,10,9,16,17,11,30,16,9,4,5,10,11,7,5,11,7,4
형법범,기타형법범,공안을 해하는 죄,외 국,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-
형법범,기타형법범,공안을 해하는 죄,기 타,27,18,21,65,47,44,35,64,41,23,15,18,58,36,47,15,12
형법범,기타형법범,폭발물에 관한 죄,자기집,-,3,-,-,-,1,-,6,-,-,-,2,-,-,-,-,4
형법범,기타형법범,폭발물에 관한 죄,현장검거,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,폭발물에 관한 죄,기 타,-,-,1,-,2,-,-,-,-,1,-,-,-,1,9,-,-
형법범,기타형법범,공무방해에 관한 죄,자기집,1315,1391,1520,1843,1954,2174,1750,1647,1375,1420,1448,1685,1849,2091,2376,3235,2336
형법범,기타형법범,공무방해에 관한 죄,공범집,1,2,2,3,5,4,2,3,-,4,7,4,3,5,7,5,5
형법범,기타형법범,공무방해에 관한 죄,애인집,1,1,2,1,1,1,1,2,2,2,2,4,3,1,1,3,2
형법범,기타형법범,공무방해에 관한 죄,친족집,7,3,8,12,7,10,14,7,5,9,43,31,29,49,48,53,26
형법범,기타형법범,공무방해에 관한 죄,지인집,9,8,11,13,11,9,8,12,8,9,36,12,20,23,19,28,13
형법범,기타형법범,공무방해에 관한 죄,숙박업소,4,11,7,9,6,3,8,5,7,7,9,12,9,15,15,24,10
형법범,기타형법범,공무방해에 관한 죄,야 외,24,5,12,9,23,14,9,23,10,11,33,12,18,27,60,72,61
형법범,기타형법범,공무방해에 관한 죄,현장검거,2285,2413,2913,3223,3867,3864,4515,5610,6667,6493,7952,7542,8901,12167,13659,12816,10872
형법범,기타형법범,공무방해에 관한 죄,외 국,5,1,7,4,4,3,5,8,3,5,12,11,26,12,13,11,2
형법범,기타형법범,공무방해에 관한 죄,기 타,2507,2036,2521,3044,3292,3455,3192,3346,3219,3318,3192,2667,3194,3906,3680,3815,2937
형법범,기타형법범,도주와 도주원조죄,자기집,12,5,-,1,11,1,7,1,1,-,1,-,-,3,1,1,-
형법범,기타형법범,도주와 도주원조죄,친족집,1,1,2,-,-,1,1,-,-,-,-,1,-,-,-,-,-
형법범,기타형법범,도주와 도주원조죄,지인집,-,-,-,-,-,-,1,-,-,3,-,-,-,-,1,-,3
형법범,기타형법범,도주와 도주원조죄,숙박업소,-,1,-,-,3,-,-,-,-,-,1,-,-,-,-,-,-
형법범,기타형법범,도주와 도주원조죄,야 외,-,-,-,-,5,5,-,-,-,-,-,1,1,-,-,-,-
형법범,기타형법범,도주와 도주원조죄,현장검거,3,12,1,1,68,15,55,1,6,1,3,1,3,2,-,4,3
형법범,기타형법범,도주와 도주원조죄,외 국,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
형법범,기타형법범,도주와 도주원조죄,기 타,63,17,7,26,24,84,118,78,98,106,9,6,7,11,5,7,4
형법범,기타형법범,범인은닉·범인도피죄,자기집,105,101,93,119,139,132,142,153,128,152,135,77,93,130,116,156,145
형법범,기타형법범,범인은닉·범인도피죄,공범집,-,2,3,-,-,1,1,-,2,4,2,1,2,-,1,2,1
형법범,기타형법범,범인은닉·범인도피죄,애인집,1,1,2,2,2,2,1,1,1,-,1,-,-,-,-,1,1
형법범,기타형법범,범인은닉·범인도피죄,친족집,2,-,1,2,-,1,1,2,1,-,1,-,3,-,1,1,-
