대분류,중분류,소분류,은신처별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
형법범,절도범죄,소계,친족집,224,185,214,197,245,258,260,245,248,218,166,188
형법범,절도범죄,소계,지인집,881,759,885,781,911,957,953,942,908,801,595,526
형법범,절도범죄,소계,숙박업소,2072,2037,2561,1971,2306,2386,2499,2765,2649,2209,1671,1762
형법범,절도범죄,소계,야외,2522,2446,2375,2114,2012,2199,2177,1997,1896,1673,1282,1287
형법범,절도범죄,소계,현장검거,17170,15582,14068,12490,12281,11838,11362,9817,9271,8276,6253,6183
형법범,절도범죄,소계,외국,42,47,49,43,46,62,50,34,39,18,12,19
형법범,절도범죄,소계,기타,37242,34035,31798,27846,27370,26408,24303,20805,21207,18907,15860,16809
형법범,절도범죄,소계,미상,10163,7456,7326,7412,8325,8926,9885,9606,10356,10220,8286,9553
형법범,폭력범죄,소계,소계,392042,400282,369913,358275,372723,380965,363511,348969,346561,313990,264229,274673
형법범,폭력범죄,소계,자기집,73115,82621,80587,81761,93464,101517,102345,104955,112324,112582,109819,117367
형법범,폭력범죄,소계,공범집,83,101,121,124,71,98,84,64,52,41,44,21
형법범,폭력범죄,소계,애인집,168,174,185,132,219,311,228,252,227,198,249,289
형법범,폭력범죄,소계,친족집,252,275,266,299,409,461,473,427,530,513,608,643
형법범,폭력범죄,소계,지인집,517,504,523,505,651,726,693,765,727,685,736,714
형법범,폭력범죄,소계,숙박업소,686,776,695,687,791,742,760,784,811,690,660,773
형법범,폭력범죄,소계,야외,1594,1491,1407,1208,1183,1420,1490,1352,1448,1207,1094,1039
형법범,폭력범죄,소계,현장검거,131822,129519,117713,106152,99150,93891,82901,71812,63597,48248,36841,36732
형법범,폭력범죄,소계,외국,89,118,105,79,58,66,90,51,63,34,15,34
형법범,폭력범죄,소계,기타,75632,77830,63693,57793,56004,53235,48306,46085,46987,43553,39421,39731
형법범,폭력범죄,소계,미상,108084,106873,104618,109535,120723,128498,126141,122422,119795,106239,74742,77330
형법범,폭력범죄,상해,소계,89138,84850,75206,66885,62059,65695,58851,52867,48854,43552,35588,33198
형법범,폭력범죄,상해,자기집,24053,25273,24724,23409,23702,25854,24604,23079,21901,20989,18061,17330
형법범,폭력범죄,상해,공범집,13,22,23,23,8,15,16,8,3,5,4,2
형법범,폭력범죄,상해,애인집,40,42,39,39,46,81,49,57,42,44,43,55
형법범,폭력범죄,상해,친족집,76,76,82,81,102,118,107,92,96,87,84,71
형법범,폭력범죄,상해,지인집,140,117,132,116,145,180,162,149,141,132,142,100
형법범,폭력범죄,상해,숙박업소,168,166,160,152,149,212,195,188,165,129,124,122
형법범,폭력범죄,상해,야외,304,307,336,236,246,291,286,233,283,193,167,138
형법범,폭력범죄,상해,현장검거,33255,30457,25940,21892,18672,19610,16526,13688,11752,8975,6745,6111
형법범,폭력범죄,상해,외국,25,37,28,27,12,25,24,20,16,6,2,8
형법범,폭력범죄,상해,기타,23344,22178,18151,15674,14083,14163,12071,10450,9785,8674,7174,6247
형법범,폭력범죄,상해,미상,7720,6175,5591,5236,4894,5146,4811,4903,4670,4318,3042,3014
형법범,폭력범죄,폭행,소계,161782,167975,166337,171166,192308,216857,210745,204801,202710,178448,145634,156232
형법범,폭력범죄,폭행,자기집,15345,18003,20605,22999,32546,41766,43246,46785,52563,52593,53664,60562
형법범,폭력범죄,폭행,공범집,15,14,20,16,10,25,25,5,5,6,7,6
형법범,폭력범죄,폭행,애인집,35,33,39,28,73,116,92,90,86,56,95,122
형법범,폭력범죄,폭행,친족집,80,80,85,80,148,210,244,213,273,258,351,368
형법범,폭력범죄,폭행,지인집,85,81,104,115,203,237,237,274,291,257,298,326
형법범,폭력범죄,폭행,숙박업소,106,106,133,131,180,208,228,250,238,237,253,317
형법범,폭력범죄,폭행,야외,324,374,326,366,391,600,662,605,599,533,496,485
형법범,폭력범죄,폭행,현장검거,48208,49158,47479,44611,44815,47838,43130,38178,33288,24488,18519,18764
형법범,폭력범죄,폭행,외국,17,14,12,11,11,12,23,12,14,6,1,12
형법범,폭력범죄,폭행,기타,18704,19717,17931,17710,18640,20862,19716,20349,21485,19600,18391,19718
형법범,폭력범죄,폭행,미상,78863,80395,79603,85099,95291,104983,103142,98040,93868,80414,53559,55552
형법범,폭력범죄,체포・감금,소계,969,1113,1086,1118,1226,1687,1911,1608,1654,1695,1521,1432
형법범,폭력범죄,체포・감금,자기집,217,292,238,244,275,442,551,403,475,513,542,538
형법범,폭력범죄,체포・감금,공범집,-,1,-,-,1,2,1,3,1,-,5,-
형법범,폭력범죄,체포・감금,애인집,1,-,2,-,2,7,3,2,4,5,8,5
형법범,폭력범죄,체포・감금,친족집,-,-,1,-,1,2,1,2,3,2,2,2
형법범,폭력범죄,체포・감금,지인집,5,5,1,3,5,14,9,6,5,9,6,4
형법범,폭력범죄,체포・감금,숙박업소,7,11,8,10,9,23,10,32,20,14,14,15
형법범,폭력범죄,체포・감금,야외,4,6,10,11,8,15,12,6,4,9,10,9
