죄종별(1),죄종별(2),죄종별(3),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
특별법범,소계,공직선거 및 선거부정방지법,-,-,-,86,2057,141,1355,82,3379,380,1926,156,94,1,-,-,1
특별법범,소계,공직선거법,-,-,-,-,-,-,-,-,-,-,-,-,2313,649,1536,164,2076
특별법범,소계,관세법,22,18,15,11,16,24,33,24,18,16,34,27,223,31,314,48,10
특별법범,소계,교통사고특례법,250789,231935,244827,226043,210112,239050,255712,234298,211209,212528,211796,191502,193698,192332,186917,199712,198313
특별법범,소계,구국가보안법,102,51,88,103,90,61,39,18,19,4,-,-,-,-,-,-,-
특별법범,소계,국가보안법,354,211,325,479,343,224,110,46,37,32,92,35,30,50,31,33,69
특별법범,소계,국민건강보험법,-,-,-,-,-,-,-,-,-,-,7,12,6,28,27,56,33
특별법범,소계,국민연금법,-,-,-,-,-,-,-,-,-,-,151,68,83,32,34,24,38
특별법범,소계,국민투표법,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,국토의계획 및 이용에 관한 법률,-,-,-,-,-,-,-,-,-,-,1319,2087,1415,1300,1201,948,868
특별법범,소계,국회의원 선거법,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,근로기준법,24,41,47,56,60,195,114,105,83,45,38,35,30,28,29,48,34
특별법범,소계,낚시어선업법,-,-,-,-,-,-,-,-,-,-,374,378,271,327,959,235,216
특별법범,소계,내수면어업법,-,-,-,-,-,-,-,-,-,-,184,187,173,167,211,217,98
특별법범,소계,노동쟁의조정법,6,4,10,1,-,-,-,2,-,-,-,-,-,-,-,-,-
특별법범,소계,노동조합 및 노동관계 조정법,-,-,-,-,-,-,-,-,-,-,-,20,7,6,2,1,3
특별법범,소계,농산물품질관리법,-,-,-,-,-,-,-,-,-,-,297,102,52,34,187,161,70
특별법범,소계,농수산물 유통 및 가격안정에 관한 법률,56,12,31,53,79,39,41,106,67,355,66,91,60,41,60,87,55
특별법범,소계,농지법,-,-,-,-,-,-,-,-,-,-,1137,1035,1134,957,910,710,622
특별법범,소계,농지의 보전 및 이용에 관한 법률,569,516,147,49,28,8,5,1,-,1,-,-,-,-,-,-,-
특별법범,소계,담배사업법,-,-,-,-,-,-,-,-,-,-,412,451,981,683,384,441,219
특별법범,소계,대기환경보전법,1391,1252,1165,1054,1504,1186,3764,3560,2901,2269,2446,2428,1318,1017,2516,1402,489
특별법범,소계,대마관리법,595,572,415,454,914,1217,1177,916,1078,975,-,-,-,-,-,-,-
특별법범,소계,대부업의 등록 및 금융이용자보호에 관한 법률,-,-,-,-,-,-,-,-,-,-,817,524,538,3065,4872,15126,2540
특별법범,소계,대통령 선거법,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,도로교통법(공동위험행위),-,-,-,-,-,-,-,-,-,-,-,-,-,-,97,157,140
특별법범,소계,도로교통법(교통사고),231725,262407,307451,427340,473786,388232,361932,395252,381986,323440,65778,73122,59681,58890,51052,24876,22006
특별법범,소계,도로교통법(무면허운전),-,-,-,-,-,-,-,-,-,-,103437,75028,57509,89815,156382,98131,58700
특별법범,소계,도로교통법(사고후미조치),-,-,-,-,-,-,-,-,-,-,-,-,-,-,286,15282,21797
특별법범,소계,도로교통법(음주운전),-,-,-,-,-,-,-,-,-,-,449057,323613,286117,351285,387289,290124,267242
특별법범,소계,도로교통법(음주측정거부),-,-,-,-,-,-,-,-,-,-,5506,4050,3486,3820,3876,3050,2936
특별법범,소계,도로법,40006,20249,20230,20200,14406,16904,18455,21230,32201,37391,37687,31665,34415,37319,37314,35054,28007
특별법범,소계,도로운송차량법,177,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,도시가스사업법,27,50,77,62,34,46,24,18,18,52,48,34,20,21,17,13,15
특별법범,소계,도시계획법,1623,1880,2055,2213,1857,1812,2086,1034,1077,422,3,-,-,-,-,-,-
특별법범,소계,도시공원및녹지등에관한법률,-,-,-,-,-,-,-,-,-,-,-,-,-,140,106,136,89
특별법범,소계,도시공원법,-,-,-,-,-,-,-,-,-,-,209,215,19,-,-,-,-
특별법범,소계,독물 및 극물에 관한 법률,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,독점규제 및 공정거래에 관한 법률,6,1,6,2,7,4,5,4,5,2,3,7,7,-,-,-,-
특별법범,소계,디자인보험법,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,190
특별법범,소계,마약류 관리에 관한 법률(마약),-,-,-,-,-,-,-,-,-,-,749,451,638,731,1174,1908,674
특별법범,소계,마약류관리에 관한법률(대마),-,-,-,-,-,-,-,-,-,-,833,591,548,655,552,988,881
특별법범,소계,마약류관리에 관한법률(향정),-,-,-,-,-,-,-,-,-,-,2122,2031,2799,4658,3378,3183,2677
특별법범,소계,마약법,671,552,449,410,472,486,925,568,778,863,-,-,-,-,-,-,-
특별법범,소계,매장 및 묘지등에 관한 법률,163,146,141,180,178,275,190,88,98,29,-,-,-,-,-,-,-
특별법범,소계,문화재보호법,35,32,19,32,40,129,68,56,75,161,181,139,107,91,57,113,95
특별법범,소계,물가안정에 관한 법률,35,2,-,-,15,-,-,-,-,1,-,-,-,-,-,-,-
특별법범,소계,미성년자보호법,457,584,717,847,951,552,7,2,1,-,-,-,-,-,-,-,-
특별법범,소계,민방위기본법,1148,8,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-
특별법범,소계,민법,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,소계,민사소송법,-,-,-,-,-,-,-,-,-,-,51,35,29,9,13,14,8
특별법범,소계,밀항단속법,74,79,68,64,41,42,54,73,102,83,125,155,245,266,205,169,83
특별법범,소계,방문판매등에 관한 법률,67,48,525,388,498,219,238,551,617,270,204,246,197,193,223,843,291
특별법범,소계,배타적경제수역의 외국인어업등에 관한 법률,-,-,-,-,-,-,-,-,-,-,371,581,401,393,366,251,244
