대분류,중분류,소분류,범행동기별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,절도범,소계,기타,14479,14104,14225,16073,21992,20048,19004,17110,18804,18581,31619,31499,33108,38260,33995,42524,32825
형법범,절도범,절도,이욕,8271,,,,,,,,,,,,,,,,
형법범,절도범,절도,사행심,395,,,,,,,,,,,,,,,,
형법범,절도범,절도,보복,59,,,,,,,,,,,,,,,,
형법범,절도범,절도,가정불화,68,,,,,,,,,,,,,,,,
형법범,절도범,절도,호기심,1808,,,,,,,,,,,,,,,,
형법범,절도범,절도,유혹,444,,,,,,,,,,,,,,,,
형법범,절도범,절도,우발적,3735,,,,,,,,,,,,,,,,
형법범,절도범,절도,현실불만,114,,,,,,,,,,,,,,,,
형법범,절도범,절도,부주의,265,,,,,,,,,,,,,,,,
형법범,절도범,절도,기타,6336,,,,,,,,,,,,,,,,
형법범,절도범,특가법(절도),이욕,2147,,,,,,,,,,,,,,,,
형법범,절도범,특가법(절도),사행심,81,,,,,,,,,,,,,,,,
형법범,절도범,특가법(절도),보복,3,,,,,,,,,,,,,,,,
형법범,절도범,특가법(절도),가정불화,3,,,,,,,,,,,,,,,,
형법범,절도범,특가법(절도),호기심,117,,,,,,,,,,,,,,,,
형법범,절도범,특가법(절도),유혹,38,,,,,,,,,,,,,,,,
형법범,절도범,특가법(절도),우발적,169,,,,,,,,,,,,,,,,
형법범,절도범,특가법(절도),현실불만,8,,,,,,,,,,,,,,,,
형법범,절도범,특가법(절도),부주의,13,,,,,,,,,,,,,,,,
형법범,절도범,특가법(절도),기타,715,,,,,,,,,,,,,,,,
형법범,절도범,특가법(절도강간),이욕,1,,,,,,,,,,,,,,,,
형법범,절도범,야간주거침입절도,이욕,1272,,,,,,,,,,,,,,,,
형법범,절도범,야간주거침입절도,사행심,52,,,,,,,,,,,,,,,,
형법범,절도범,야간주거침입절도,보복,11,,,,,,,,,,,,,,,,
형법범,절도범,야간주거침입절도,가정불화,2,,,,,,,,,,,,,,,,
형법범,절도범,야간주거침입절도,호기심,100,,,,,,,,,,,,,,,,
형법범,절도범,야간주거침입절도,유혹,44,,,,,,,,,,,,,,,,
형법범,절도범,야간주거침입절도,우발적,368,,,,,,,,,,,,,,,,
형법범,절도범,야간주거침입절도,현실불만,21,,,,,,,,,,,,,,,,
형법범,절도범,야간주거침입절도,부주의,23,,,,,,,,,,,,,,,,
형법범,절도범,야간주거침입절도,기타,789,,,,,,,,,,,,,,,,
형법범,절도범,야간주거침입절도(상습),이욕,5,,,,,,,,,,,,,,,,
형법범,절도범,야간주거침입절도(상습),기타,1,,,,,,,,,,,,,,,,
형법범,절도범,특수절도,이욕,10370,,,,,,,,,,,,,,,,
형법범,절도범,특수절도,사행심,470,,,,,,,,,,,,,,,,
형법범,절도범,특수절도,보복,34,,,,,,,,,,,,,,,,
형법범,절도범,특수절도,가정불화,28,,,,,,,,,,,,,,,,
형법범,절도범,특수절도,호기심,3985,,,,,,,,,,,,,,,,
형법범,절도범,특수절도,유혹,503,,,,,,,,,,,,,,,,
형법범,절도범,특수절도,우발적,3386,,,,,,,,,,,,,,,,
형법범,절도범,특수절도,현실불만,82,,,,,,,,,,,,,,,,
형법범,절도범,특수절도,부주의,160,,,,,,,,,,,,,,,,
형법범,절도범,특수절도,기타,6588,,,,,,,,,,,,,,,,
형법범,절도범,특수절도(상습),이욕,8,,,,,,,,,,,,,,,,
형법범,절도범,특수절도(상습),호기심,1,,,,,,,,,,,,,,,,
형법범,절도범,특수절도(상습),기타,1,,,,,,,,,,,,,,,,
형법범,절도범,상습절도,이욕,193,,,,,,,,,,,,,,,,
형법범,절도범,상습절도,사행심,4,,,,,,,,,,,,,,,,
형법범,절도범,상습절도,호기심,9,,,,,,,,,,,,,,,,
형법범,절도범,상습절도,유혹,4,,,,,,,,,,,,,,,,
형법범,절도범,상습절도,우발적,16,,,,,,,,,,,,,,,,
형법범,절도범,상습절도,부주의,2,,,,,,,,,,,,,,,,
형법범,절도범,상습절도,기타,49,,,,,,,,,,,,,,,,
형법범,폭력범,소계,이욕,16334,17285,17012,17547,16095,19221,20684,22035,17090,18372,3652,2849,2825,2627,3652,3943,23197
형법범,폭력범,소계,사행심,1106,2015,2232,1023,683,469,360,352,260,234,822,646,694,710,958,1204,55
형법범,폭력범,소계,보복,5246,4042,3910,4819,4352,4378,4469,3876,3209,2348,2929,2436,2351,2216,101,73,501
형법범,폭력범,소계,가정불화,3938,2911,2955,2552,4967,10009,10441,10798,8944,9610,8444,7069,6331,5797,4217,3198,4148
형법범,폭력범,소계,호기심,958,1089,2183,3229,1947,986,965,2141,1518,506,541,603,596,618,810,735,529
형법범,폭력범,소계,유혹,589,585,643,717,1137,992,811,1352,928,573,596,710,603,602,721,741,309
형법범,폭력범,소계,우발적,179972,181413,187459,194596,214419,274524,313589,315226,270260,261085,273954,260440,249428,254346,267431,264807,210814
형법범,폭력범,소계,현실불만,8828,8290,9000,8232,8045,14144,10112,10028,8071,7268,7849,6870,6700,6874,8887,8766,7232
형법범,폭력범,소계,부주의,5259,6629,7630,8350,8822,11537,10010,8815,7606,7805,3416,3175,3317,3278,3690,3540,3719
형법범,폭력범,소계,기타,110517,100805,103070,108956,126812,138793,146180,139312,118999,127863,150350,150967,156883,173566,164175,163738,148680
형법범,지능범,소계,이욕,45860,61378,68914,60104,75188,86096,66118,66942,71349,81171,26085,23480,21958,22122,25492,31239,58105
형법범,지능범,소계,사행심,2306,3020,4107,4817,5176,3765,2739,2752,2762,3075,4833,3911,3444,2279,2890,4113,77
형법범,지능범,소계,보복,61,51,60,59,56,43,44,52,58,58,208,275,202,156,39,3,2626
형법범,지능범,소계,가정불화,138,117,156,118,109,113,104,74,74,86,256,171,188,129,116,76,88
형법범,지능범,소계,호기심,482,485,1179,1454,1562,629,580,1599,1522,731,1036,776,839,717,977,1381,1004
형법범,지능범,소계,유혹,421,383,486,468,1061,871,438,908,981,625,1197,1008,1090,1390,1895,2726,1549
형법범,지능범,소계,우발적,1945,1910,2500,2331,3807,5140,4347,4947,5091,4504,6151,4473,4392,4574,6727,8557,5875
형법범,지능범,소계,현실불만,194,194,230,205,266,332,272,301,271,320,382,273,359,355,593,724,374
형법범,지능범,소계,부주의,3858,6031,7046,7490,7541,10804,6883,6351,5949,6315,3535,3343,3479,3413,5838,7665,6491
형법범,지능범,소계,기타,80700,102466,131326,132974,161726,177707,136243,138058,143384,164888,353069,317394,331538,307237,318595,344215,284456
형법범,풍속범,소계,이욕,6213,6330,6068,6351,6810,10022,11032,12398,11793,8398,2399,1838,6392,2351,1753,3165,6320
형법범,풍속범,소계,사행심,12364,12179,11135,11362,11264,13851,17620,17534,14929,10715,16055,13608,19317,16036,18225,24028,2
형법범,풍속범,소계,보복,10,15,62,55,6,13,10,6,6,5,38,15,32,18,9,4,15533
형법범,풍속범,소계,가정불화,1135,929,732,524,398,409,479,351,282,311,341,236,203,145,110,86,73
형법범,풍속범,소계,호기심,1322,1216,1138,1329,1149,972,1080,878,763,479,601,598,1001,827,1356,9108,1755
형법범,풍속범,소계,유혹,1727,1590,1534,1721,1952,1677,1269,1310,945,698,852,614,742,695,850,1020,598
형법범,풍속범,소계,우발적,2111,2052,1779,1887,1960,2285,2953,2694,2517,1780,2299,2138,2942,3148,3759,4180,2640
형법범,풍속범,소계,현실불만,97,138,188,73,82,84,80,65,52,51,72,78,49,45,66,102,27
형법범,풍속범,소계,부주의,568,1077,1194,1221,1455,1822,1769,1402,1234,865,535,390,604,601,781,1023,662
형법범,풍속범,소계,기타,20637,19708,18920,18191,21020,23522,26188,24871,23010,19175,27401,21510,32925,22711,19356,28971,15581
형법범,기타형법범,소계,이욕,3767,3561,3660,3634,4650,5629,4870,4911,4470,4719,853,986,887,1075,1118,1240,9440
형법범,기타형법범,소계,사행심,155,164,239,255,218,144,81,85,60,35,104,127,118,93,168,284,30
형법범,기타형법범,소계,보복,376,279,294,357,255,399,466,423,407,389,456,505,466,379,54,26,192
형법범,기타형법범,소계,가정불화,117,100,88,81,99,101,141,114,93,97,153,161,190,249,211,151,223
형법범,기타형법범,소계,호기심,242,210,280,448,345,135,146,323,248,103,149,114,236,318,337,317,297
형법범,기타형법범,소계,유혹,122,85,1534,82,155,146,100,135,153,63,206,117,169,279,211,279,241
